Sentence,Subject Characters,Actions with Subject Charcater,Object Characters,Objects and Actions,sentence sentiment score,dependency_tree
"Vernon and Petunia , with their one-year-old son Dudley , are proud to say that they are the most normal people possible .","['Vernon', 'Petunia', 'Dudley', 'they']","['Vernon:proud', 'Petunia:proud', 'Dudley:proud', 'they:people']",[],[],0.4767,"[(('proud', 'JJ'), 'nsubj', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'cc', ('and', 'CC')), (('Vernon', 'NNP'), 'conj', ('Petunia', 'NNP')), (('proud', 'JJ'), 'nmod', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'case', ('with', 'IN')), (('Dudley', 'NNP'), 'nmod:poss', ('their', 'PRP$')), (('Dudley', 'NNP'), 'amod', ('one-year-old', 'JJ')), (('Dudley', 'NNP'), 'compound', ('son', 'NN')), (('proud', 'JJ'), 'cop', ('are', 'VBP')), (('proud', 'JJ'), 'xcomp', ('say', 'VB')), (('say', 'VB'), 'mark', ('to', 'TO')), (('say', 'VB'), 'ccomp', ('people', 'NNS')), (('people', 'NNS'), 'mark', ('that', 'IN')), (('people', 'NNS'), 'nsubj', ('they', 'PRP')), (('people', 'NNS'), 'cop', ('are', 'VBP')), (('people', 'NNS'), 'det', ('the', 'DT')), (('people', 'NNS'), 'advmod', ('most', 'RBS')), (('people', 'NNS'), 'amod', ('normal', 'JJ')), (('people', 'NNS'), 'amod', ('possible', 'JJ'))]"
"They happily occupy  Privet , located in the Surrey town of Little Whinging .","['They', 'town', 'Whinging']","['They:occupy', 'town:located', 'Whinging:town']",['Privet'],['Privet:occupy'],0.5574,"[(('occupy', 'VB'), 'nsubj', ('They', 'PRP')), (('occupy', 'VB'), 'advmod', ('happily', 'RB')), (('occupy', 'VB'), 'dobj', ('Privet', 'NNP')), (('Privet', 'NNP'), 'acl', ('located', 'VBN')), (('located', 'VBN'), 'nmod', ('town', 'NN')), (('town', 'NN'), 'case', ('in', 'IN')), (('town', 'NN'), 'det', ('the', 'DT')), (('town', 'NN'), 'compound', ('Surrey', 'NNP')), (('town', 'NN'), 'nmod', ('Whinging', 'NNP')), (('Whinging', 'NNP'), 'case', ('of', 'IN')), (('Whinging', 'NNP'), 'compound', ('Little', 'NNP'))]"
"Vernon is the director of a drill company called Grunnings , while Petunia does housework and looks after Dudley , yet she always spends so much time craning over garden fence to spy on the neighbours .","['Vernon', 'company', 'Petunia', 'Dudley', 'she', 'neighbours']","['Vernon:director', 'company:director', 'Petunia:does', 'Dudley:looks', 'she:spends', 'neighbours:spy']","['Grunnings', 'housework', 'time', 'fence']","['Grunnings:called', 'housework:does', 'time:spends', 'fence:craning']",0.0,"[(('director', 'NN'), 'nsubj', ('Vernon', 'NNP')), (('director', 'NN'), 'cop', ('is', 'VBZ')), (('director', 'NN'), 'det', ('the', 'DT')), (('director', 'NN'), 'nmod', ('company', 'NN')), (('company', 'NN'), 'case', ('of', 'IN')), (('company', 'NN'), 'det', ('a', 'DT')), (('company', 'NN'), 'compound', ('drill', 'NN')), (('company', 'NN'), 'acl', ('called', 'VBN')), (('called', 'VBN'), 'dobj', ('Grunnings', 'NNS')), (('called', 'VBN'), 'advcl', ('does', 'VBZ')), (('does', 'VBZ'), 'mark', ('while', 'IN')), (('does', 'VBZ'), 'nsubj', ('Petunia', 'NNP')), (('does', 'VBZ'), 'dobj', ('housework', 'NN')), (('does', 'VBZ'), 'cc', ('and', 'CC')), (('does', 'VBZ'), 'conj', ('looks', 'VBZ')), (('looks', 'VBZ'), 'nmod', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'case', ('after', 'IN')), (('director', 'NN'), 'cc', ('yet', 'CC')), (('director', 'NN'), 'conj', ('spends', 'VBZ')), (('spends', 'VBZ'), 'nsubj', ('she', 'PRP')), (('spends', 'VBZ'), 'advmod', ('always', 'RB')), (('spends', 'VBZ'), 'dobj', ('time', 'NN')), (('time', 'NN'), 'amod', ('much', 'JJ')), (('much', 'JJ'), 'advmod', ('so', 'RB')), (('spends', 'VBZ'), 'xcomp', ('craning', 'VBG')), (('craning', 'VBG'), 'compound:prt', ('over', 'RP')), (('craning', 'VBG'), 'dobj', ('fence', 'NN')), (('fence', 'NN'), 'compound', ('garden', 'NN')), (('craning', 'VBG'), 'advcl', ('spy', 'VB')), (('spy', 'VB'), 'mark', ('to', 'TO')), (('spy', 'VB'), 'nmod', ('neighbours', 'NNS')), (('neighbours', 'NNS'), 'case', ('on', 'IN')), (('neighbours', 'NNS'), 'det', ('the', 'DT'))]"
"Despite all this , Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley are the least people anyone expects to be involved in anything funny or disturbing , for Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley do n't hold with such nonsense in Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley 's daily lives .","['Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley', 'anything', 'Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley', 'nonsense', 'lives']","['Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley:anyone', 'anything:involved', 'Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley:hold', 'nonsense:hold', 'lives:nonsense']",[],[],-0.4767,"[(('anyone', 'NN'), 'nmod', ('this', 'DT')), (('this', 'DT'), 'case', ('Despite', 'IN')), (('this', 'DT'), 'det:predet', ('all', 'PDT')), (('anyone', 'NN'), 'nsubj', ('Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley', 'NNP')), (('anyone', 'NN'), 'cop', ('are', 'VBP')), (('anyone', 'NN'), 'det', ('the', 'DT')), (('anyone', 'NN'), 'amod', ('least', 'JJS')), (('anyone', 'NN'), 'compound', ('people', 'NNS')), (('anyone', 'NN'), 'acl:relcl', ('expects', 'VBZ')), (('expects', 'VBZ'), 'xcomp', ('involved', 'VBN')), (('involved', 'VBN'), 'mark', ('to', 'TO')), (('involved', 'VBN'), 'auxpass', ('be', 'VB')), (('involved', 'VBN'), 'nmod', ('anything', 'NN')), (('anything', 'NN'), 'case', ('in', 'IN')), (('anything', 'NN'), 'amod', ('funny', 'JJ')), (('funny', 'JJ'), 'cc', ('or', 'CC')), (('funny', 'JJ'), 'conj', ('disturbing', 'JJ')), (('expects', 'VBZ'), 'advcl', ('hold', 'VB')), (('hold', 'VB'), 'mark', ('for', 'IN')), (('hold', 'VB'), 'nsubj', ('Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley', 'NNP')), (('hold', 'VB'), 'aux', ('do', 'VBP')), (('hold', 'VB'), 'neg', (""n't"", 'RB')), (('hold', 'VB'), 'nmod', ('nonsense', 'NN')), (('nonsense', 'NN'), 'case', ('with', 'IN')), (('nonsense', 'NN'), 'amod', ('such', 'JJ')), (('nonsense', 'NN'), 'nmod', ('lives', 'NNS')), (('lives', 'NNS'), 'case', ('in', 'IN')), (('lives', 'NNS'), 'nmod:poss', ('Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley', 'NNP')), (('Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley', 'NNP'), 'case', (""'s"", 'POS')), (('lives', 'NNS'), 'amod', ('daily', 'JJ'))]"
"The story begins on a Tuesday  November ,  , where many absurd things happen .","['story', 'November', 'things']","['story:begins', 'November:begins', 'things:happen']",[],[],0.0,"[(('begins', 'VBZ'), 'nsubj', ('story', 'NN')), (('story', 'NN'), 'det', ('The', 'DT')), (('begins', 'VBZ'), 'nmod', ('November', 'NNP')), (('November', 'NNP'), 'case', ('on', 'IN')), (('November', 'NNP'), 'det', ('a', 'DT')), (('November', 'NNP'), 'compound', ('Tuesday', 'NNP')), (('November', 'NNP'), 'acl:relcl', ('happen', 'VBP')), (('happen', 'VBP'), 'advmod', ('where', 'WRB')), (('happen', 'VBP'), 'nsubj', ('things', 'NNS')), (('things', 'NNS'), 'amod', ('many', 'JJ')), (('things', 'NNS'), 'amod', ('absurd', 'JJ'))]"
"When Marjorie-Petunia-Vernon-Dudley are gossiping happily at breakfast trying to wrestle Dudley in Vernon 's high chair , none of Marjorie-Petunia-Vernon-Dudley even notice a large tawny owl flutter pass Marjorie-Petunia-Vernon-Dudley 's window .","['Marjorie-Petunia-Vernon-Dudley', 'breakfast', 'chair', 'none', 'Marjorie-Petunia-Vernon-Dudley', 'flutter']","['Marjorie-Petunia-Vernon-Dudley:gossiping', 'breakfast:gossiping', 'chair:Dudley', 'none:notice', 'Marjorie-Petunia-Vernon-Dudley:none', 'flutter:pass']","['Dudley', 'window']","['Dudley:wrestle', 'window:pass']",0.25,"[(('notice', 'VBP'), 'advcl', ('gossiping', 'VBG')), (('gossiping', 'VBG'), 'advmod', ('When', 'WRB')), (('gossiping', 'VBG'), 'nsubj', ('Marjorie-Petunia-Vernon-Dudley', 'NNP')), (('gossiping', 'VBG'), 'aux', ('are', 'VBP')), (('gossiping', 'VBG'), 'advmod', ('happily', 'RB')), (('gossiping', 'VBG'), 'nmod', ('breakfast', 'NN')), (('breakfast', 'NN'), 'case', ('at', 'IN')), (('breakfast', 'NN'), 'acl', ('trying', 'VBG')), (('trying', 'VBG'), 'xcomp', ('wrestle', 'VB')), (('wrestle', 'VB'), 'mark', ('to', 'TO')), (('wrestle', 'VB'), 'dobj', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'nmod', ('chair', 'NN')), (('chair', 'NN'), 'case', ('in', 'IN')), (('chair', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('chair', 'NN'), 'amod', ('high', 'JJ')), (('notice', 'VBP'), 'nsubj', ('none', 'NN')), (('none', 'NN'), 'nmod', ('Marjorie-Petunia-Vernon-Dudley', 'NNP')), (('Marjorie-Petunia-Vernon-Dudley', 'NNP'), 'case', ('of', 'IN')), (('notice', 'VBP'), 'advmod', ('even', 'RB')), (('notice', 'VBP'), 'ccomp', ('pass', 'VB')), (('pass', 'VB'), 'nsubj', ('flutter', 'NN')), (('flutter', 'NN'), 'det', ('a', 'DT')), (('flutter', 'NN'), 'amod', ('large', 'JJ')), (('flutter', 'NN'), 'amod', ('tawny', 'JJ')), (('flutter', 'NN'), 'compound', ('owl', 'NN')), (('pass', 'VB'), 'dobj', ('window', 'NN')), (('window', 'NN'), 'nmod:poss', ('Marjorie-Petunia-Vernon-Dudley', 'NNP')), (('Marjorie-Petunia-Vernon-Dudley', 'NNP'), 'case', (""'s"", 'POS'))]"
"It eventually comes to Vernon 's attention when he is heading to work shortly afterwards , and sees a silver tabby cat reading a map and later a street sign .","['It', 'attention', 'he']","['It:comes', 'attention:comes', 'he:heading']","['cat', 'map']","['cat:sees', 'map:reading']",0.0,"[(('comes', 'VBZ'), 'nsubj', ('It', 'PRP')), (('comes', 'VBZ'), 'advmod', ('eventually', 'RB')), (('comes', 'VBZ'), 'nmod', ('attention', 'NN')), (('attention', 'NN'), 'case', ('to', 'TO')), (('attention', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('comes', 'VBZ'), 'advcl', ('heading', 'VBG')), (('heading', 'VBG'), 'advmod', ('when', 'WRB')), (('heading', 'VBG'), 'nsubj', ('he', 'PRP')), (('heading', 'VBG'), 'aux', ('is', 'VBZ')), (('heading', 'VBG'), 'xcomp', ('work', 'VB')), (('work', 'VB'), 'mark', ('to', 'TO')), (('work', 'VB'), 'advmod', ('shortly', 'RB')), (('work', 'VB'), 'advmod', ('afterwards', 'RB')), (('comes', 'VBZ'), 'cc', ('and', 'CC')), (('comes', 'VBZ'), 'conj', ('sees', 'VBZ')), (('sees', 'VBZ'), 'dobj', ('cat', 'NN')), (('cat', 'NN'), 'det', ('a', 'DT')), (('cat', 'NN'), 'amod', ('silver', 'JJ')), (('cat', 'NN'), 'compound', ('tabby', 'NN')), (('cat', 'NN'), 'acl', ('reading', 'VBG')), (('reading', 'VBG'), 'dobj', ('map', 'NN')), (('map', 'NN'), 'det', ('a', 'DT')), (('map', 'NN'), 'cc', ('and', 'CC')), (('map', 'NN'), 'advmod', ('later', 'RB')), (('map', 'NN'), 'dep', ('sign', 'NN')), (('sign', 'NN'), 'det', ('a', 'DT')), (('sign', 'NN'), 'compound', ('street', 'NN'))]"
He attempts to convince himself that these are merely coincidences .,['He'],['He:attempts'],['himself'],['himself:convince'],0.25,"[(('attempts', 'VBZ'), 'nsubj', ('He', 'PRP')), (('attempts', 'VBZ'), 'xcomp', ('convince', 'VB')), (('convince', 'VB'), 'mark', ('to', 'TO')), (('convince', 'VB'), 'dobj', ('himself', 'PRP')), (('convince', 'VB'), 'ccomp', ('coincidences', 'JJ')), (('coincidences', 'JJ'), 'mark', ('that', 'IN')), (('coincidences', 'JJ'), 'nsubj', ('these', 'DT')), (('coincidences', 'JJ'), 'cop', ('are', 'VBP')), (('coincidences', 'JJ'), 'advmod', ('merely', 'RB'))]"
"Next , he sees people in cloaks talking in hushed voices , and while he is sitting in his office , a flock of owls fly past his window .","['he', 'cloaks', 'voices', 'he', 'office', 'flock', 'owls', 'window']","['he:sees', 'cloaks:people', 'voices:talking', 'he:sitting', 'office:sitting', 'flock:fly', 'owls:flock', 'window:fly']",['people'],['people:sees'],0.0,"[(('sees', 'VBZ'), 'advmod', ('Next', 'RB')), (('sees', 'VBZ'), 'nsubj', ('he', 'PRP')), (('sees', 'VBZ'), 'dobj', ('people', 'NNS')), (('people', 'NNS'), 'nmod', ('cloaks', 'NNS')), (('cloaks', 'NNS'), 'case', ('in', 'IN')), (('cloaks', 'NNS'), 'acl', ('talking', 'VBG')), (('talking', 'VBG'), 'nmod', ('voices', 'NNS')), (('voices', 'NNS'), 'case', ('in', 'IN')), (('voices', 'NNS'), 'amod', ('hushed', 'JJ')), (('sees', 'VBZ'), 'cc', ('and', 'CC')), (('sees', 'VBZ'), 'conj', ('fly', 'VBP')), (('fly', 'VBP'), 'advcl', ('sitting', 'VBG')), (('sitting', 'VBG'), 'mark', ('while', 'IN')), (('sitting', 'VBG'), 'nsubj', ('he', 'PRP')), (('sitting', 'VBG'), 'aux', ('is', 'VBZ')), (('sitting', 'VBG'), 'nmod', ('office', 'NN')), (('office', 'NN'), 'case', ('in', 'IN')), (('office', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('fly', 'VBP'), 'nsubj', ('flock', 'NN')), (('flock', 'NN'), 'det', ('a', 'DT')), (('flock', 'NN'), 'nmod', ('owls', 'NNS')), (('owls', 'NNS'), 'case', ('of', 'IN')), (('fly', 'VBP'), 'nmod', ('window', 'NN')), (('window', 'NN'), 'case', ('past', 'IN')), (('window', 'NN'), 'nmod:poss', ('his', 'PRP$'))]"
"On his break , Vernon goes to a bakery to get a bun and sees another group of extravagantly-cloaked figures .","['break', 'Vernon', 'bakery', 'figures']","['break:goes', 'Vernon:goes', 'bakery:goes', 'figures:group']","['bun', 'group']","['bun:get', 'group:sees']",0.0,"[(('goes', 'VBZ'), 'nmod', ('break', 'NN')), (('break', 'NN'), 'case', ('On', 'IN')), (('break', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('goes', 'VBZ'), 'nsubj', ('Vernon', 'NNP')), (('goes', 'VBZ'), 'nmod', ('bakery', 'NN')), (('bakery', 'NN'), 'case', ('to', 'TO')), (('bakery', 'NN'), 'det', ('a', 'DT')), (('goes', 'VBZ'), 'xcomp', ('get', 'VB')), (('get', 'VB'), 'mark', ('to', 'TO')), (('get', 'VB'), 'dobj', ('bun', 'NN')), (('bun', 'NN'), 'det', ('a', 'DT')), (('goes', 'VBZ'), 'cc', ('and', 'CC')), (('goes', 'VBZ'), 'conj', ('sees', 'VBZ')), (('sees', 'VBZ'), 'dobj', ('group', 'NN')), (('group', 'NN'), 'det', ('another', 'DT')), (('group', 'NN'), 'nmod', ('figures', 'NNS')), (('figures', 'NNS'), 'case', ('of', 'IN')), (('figures', 'NNS'), 'amod', ('extravagantly-cloaked', 'JJ'))]"
