Sentence,Subject Characters,Actions with Subject Charcater,Object Characters,Objects and Actions,sentence sentiment score,dependency_tree
"Thomas and Mary , with their grown-up son Tom , have been considered the most unpopular people occupying the Riddle , located on a hill overlooking the Yorkshire village of Little Hangleton , many decades ago .","['Tom', 'hill', 'Hangleton']","['Tom:considered', 'hill:located', 'Hangleton:village']","['Thomas', 'Mary', 'people', 'Riddle', 'village']","['Thomas:considered', 'Mary:considered', 'people:considered', 'Riddle:occupying', 'village:overlooking']",0.0,"[(('considered', 'VBN'), 'nsubjpass', ('Thomas', 'NNP')), (('Thomas', 'NNP'), 'cc', ('and', 'CC')), (('Thomas', 'NNP'), 'conj', ('Mary', 'NNP')), (('considered', 'VBN'), 'nmod', ('Tom', 'NNP')), (('Tom', 'NNP'), 'case', ('with', 'IN')), (('Tom', 'NNP'), 'nmod:poss', ('their', 'PRP$')), (('Tom', 'NNP'), 'amod', ('grown-up', 'JJ')), (('Tom', 'NNP'), 'compound', ('son', 'NN')), (('considered', 'VBN'), 'aux', ('have', 'VBP')), (('considered', 'VBN'), 'auxpass', ('been', 'VBN')), (('considered', 'VBN'), 'dobj', ('people', 'NNS')), (('people', 'NNS'), 'det', ('the', 'DT')), (('people', 'NNS'), 'amod', ('unpopular', 'JJ')), (('unpopular', 'JJ'), 'advmod', ('most', 'RBS')), (('people', 'NNS'), 'acl', ('occupying', 'VBG')), (('occupying', 'VBG'), 'dobj', ('Riddle', 'NN')), (('Riddle', 'NN'), 'det', ('the', 'DT')), (('Riddle', 'NN'), 'acl', ('located', 'VBN')), (('located', 'VBN'), 'nmod', ('hill', 'NN')), (('hill', 'NN'), 'case', ('on', 'IN')), (('hill', 'NN'), 'det', ('a', 'DT')), (('hill', 'NN'), 'acl', ('overlooking', 'VBG')), (('overlooking', 'VBG'), 'dobj', ('village', 'NN')), (('village', 'NN'), 'det', ('the', 'DT')), (('village', 'NN'), 'compound', ('Yorkshire', 'NNP')), (('village', 'NN'), 'nmod', ('Hangleton', 'NNP')), (('Hangleton', 'NNP'), 'case', ('of', 'IN')), (('Hangleton', 'NNP'), 'compound', ('Little', 'NNP')), (('Riddle', 'NN'), 'advmod', ('ago', 'RB')), (('ago', 'RB'), 'nmod:npmod', ('decades', 'NNS')), (('decades', 'NNS'), 'amod', ('many', 'JJ'))]"
"Thomas was a snobbish squire who had the worst attitude that nobody wanted in a village leader , while Mary did retailing for Lady branch of the British of Garden Centres .","['Thomas', 'nobody', 'leader', 'Mary', 'branch', 'British']","['Thomas:squire', 'nobody:wanted', 'leader:wanted', 'Mary:did', 'branch:did', 'British:branch']","['attitude', 'retailing']","['attitude:had', 'retailing:did']",-0.7184,"[(('squire', 'NN'), 'nsubj', ('Thomas', 'NNP')), (('squire', 'NN'), 'cop', ('was', 'VBD')), (('squire', 'NN'), 'det', ('a', 'DT')), (('squire', 'NN'), 'amod', ('snobbish', 'JJ')), (('squire', 'NN'), 'acl:relcl', ('had', 'VBD')), (('had', 'VBD'), 'nsubj', ('who', 'WP')), (('had', 'VBD'), 'dobj', ('attitude', 'NN')), (('attitude', 'NN'), 'det', ('the', 'DT')), (('attitude', 'NN'), 'amod', ('worst', 'JJS')), (('had', 'VBD'), 'ccomp', ('wanted', 'VBD')), (('wanted', 'VBD'), 'mark', ('that', 'IN')), (('wanted', 'VBD'), 'nsubj', ('nobody', 'NN')), (('wanted', 'VBD'), 'nmod', ('leader', 'NN')), (('leader', 'NN'), 'case', ('in', 'IN')), (('leader', 'NN'), 'det', ('a', 'DT')), (('leader', 'NN'), 'compound', ('village', 'NN')), (('wanted', 'VBD'), 'advcl', ('did', 'VBD')), (('did', 'VBD'), 'mark', ('while', 'IN')), (('did', 'VBD'), 'nsubj', ('Mary', 'NNP')), (('did', 'VBD'), 'dobj', ('retailing', 'NN')), (('did', 'VBD'), 'nmod', ('branch', 'NN')), (('branch', 'NN'), 'case', ('for', 'IN')), (('branch', 'NN'), 'compound', ('Lady', 'NN')), (('branch', 'NN'), 'nmod', ('British', 'NNP')), (('British', 'NNP'), 'case', ('of', 'IN')), (('British', 'NNP'), 'det', ('the', 'DT')), (('British', 'NNP'), 'nmod', ('Centres', 'NNPS')), (('Centres', 'NNPS'), 'case', ('of', 'IN')), (('Centres', 'NNPS'), 'compound', ('Garden', 'NNP'))]"
"Referred to as `` white trash '' by most of the village , Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom have looked down on the most poverty-stricken families in the village for generations and sneered at anything disturbing for Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom 's peace , for Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom did n't hold such nonsense in Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom 's daily lives .","['village', 'Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom', 'families', 'village', 'generations', 'anything', 'peace', 'Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom', 'lives']","['village:most', 'Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom:looked', 'families:looked', 'village:families', 'generations:village', 'anything:sneered', 'peace:disturbing', 'Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom:hold', 'lives:hold']",['nonsense'],['nonsense:hold'],0.3523,"[(('looked', 'VBN'), 'advcl', ('Referred', 'VBN')), (('Referred', 'VBN'), 'xcomp', ('trash', 'NN')), (('trash', 'NN'), 'mark', ('to', 'TO')), (('trash', 'NN'), 'advmod', ('as', 'RB')), (('trash', 'NN'), 'amod', ('white', 'JJ')), (('trash', 'NN'), 'nmod', ('most', 'JJS')), (('most', 'JJS'), 'case', ('by', 'IN')), (('most', 'JJS'), 'nmod', ('village', 'NN')), (('village', 'NN'), 'case', ('of', 'IN')), (('village', 'NN'), 'det', ('the', 'DT')), (('looked', 'VBN'), 'nsubj', ('Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom', 'NNP')), (('looked', 'VBN'), 'aux', ('have', 'VBP')), (('looked', 'VBN'), 'compound:prt', ('down', 'RP')), (('looked', 'VBN'), 'nmod', ('families', 'NNS')), (('families', 'NNS'), 'case', ('on', 'IN')), (('families', 'NNS'), 'det', ('the', 'DT')), (('families', 'NNS'), 'advmod', ('most', 'RBS')), (('families', 'NNS'), 'amod', ('poverty-stricken', 'JJ')), (('families', 'NNS'), 'nmod', ('village', 'NN')), (('village', 'NN'), 'case', ('in', 'IN')), (('village', 'NN'), 'det', ('the', 'DT')), (('village', 'NN'), 'nmod', ('generations', 'NNS')), (('generations', 'NNS'), 'case', ('for', 'IN')), (('looked', 'VBN'), 'cc', ('and', 'CC')), (('looked', 'VBN'), 'conj', ('sneered', 'VBN')), (('sneered', 'VBN'), 'nmod', ('anything', 'NN')), (('anything', 'NN'), 'case', ('at', 'IN')), (('anything', 'NN'), 'acl', ('disturbing', 'VBG')), (('disturbing', 'VBG'), 'nmod', ('peace', 'NN')), (('peace', 'NN'), 'case', ('for', 'IN')), (('peace', 'NN'), 'nmod:poss', ('Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom', 'NNP')), (('Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom', 'NNP'), 'case', (""'s"", 'POS')), (('looked', 'VBN'), 'advcl', ('hold', 'VB')), (('hold', 'VB'), 'mark', ('for', 'IN')), (('hold', 'VB'), 'nsubj', ('Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom', 'NNP')), (('hold', 'VB'), 'aux', ('did', 'VBD')), (('hold', 'VB'), 'neg', (""n't"", 'RB')), (('hold', 'VB'), 'dobj', ('nonsense', 'NN')), (('nonsense', 'NN'), 'amod', ('such', 'JJ')), (('hold', 'VB'), 'nmod', ('lives', 'NNS')), (('lives', 'NNS'), 'case', ('in', 'IN')), (('lives', 'NNS'), 'nmod:poss', ('Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom', 'NNP')), (('Mary-Lestrange-Peverell-Merope-Riddle-Thomas-Weasley-Tom-Malfoy-Roberts-Potter-Dursley-Tom', 'NNP'), 'case', (""'s"", 'POS')), (('lives', 'NNS'), 'amod', ('daily', 'JJ'))]"
"The story begins in August of  , where an absurd tragedy happened inside the house that nobody is able to find out how it happened .","['story', 'August', 'tragedy', 'house', 'nobody', 'it']","['story:begins', 'August:begins', 'tragedy:happened', 'house:happened', 'nobody:able', 'it:happened']",[],[],-0.6597,"[(('begins', 'VBZ'), 'nsubj', ('story', 'NN')), (('story', 'NN'), 'det', ('The', 'DT')), (('begins', 'VBZ'), 'nmod', ('August', 'NNP')), (('August', 'NNP'), 'case', ('in', 'IN')), (('August', 'NNP'), 'acl', ('of', 'IN')), (('begins', 'VBZ'), 'advcl', ('happened', 'VBD')), (('happened', 'VBD'), 'advmod', ('where', 'WRB')), (('happened', 'VBD'), 'nsubj', ('tragedy', 'NN')), (('tragedy', 'NN'), 'det', ('an', 'DT')), (('tragedy', 'NN'), 'amod', ('absurd', 'JJ')), (('happened', 'VBD'), 'nmod', ('house', 'NN')), (('house', 'NN'), 'case', ('inside', 'IN')), (('house', 'NN'), 'det', ('the', 'DT')), (('happened', 'VBD'), 'ccomp', ('able', 'JJ')), (('able', 'JJ'), 'mark', ('that', 'IN')), (('able', 'JJ'), 'nsubj', ('nobody', 'NN')), (('able', 'JJ'), 'cop', ('is', 'VBZ')), (('able', 'JJ'), 'xcomp', ('find', 'VB')), (('find', 'VB'), 'mark', ('to', 'TO')), (('find', 'VB'), 'compound:prt', ('out', 'RP')), (('find', 'VB'), 'ccomp', ('happened', 'VBD')), (('happened', 'VBD'), 'advmod', ('how', 'WRB')), (('happened', 'VBD'), 'nsubj', ('it', 'PRP'))]"
"When Mary-Merope-Thomas-Tom-Tom 's maid goes to work that day , she discovers Mary-Merope-Thomas-Tom-Tom dead in the drawing room , `` still in Mary-Merope-Thomas-Tom-Tom 's dinner things '' .","['maid', 'she', 'Mary-Merope-Thomas-Tom-Tom', 'room', 'things']","['maid:goes', 'she:discovers', 'Mary-Merope-Thomas-Tom-Tom:dead', 'room:dead', 'things:discovers']",[],[],-0.6486,"[(('discovers', 'VBZ'), 'advcl', ('goes', 'VBZ')), (('goes', 'VBZ'), 'advmod', ('When', 'WRB')), (('goes', 'VBZ'), 'nsubj', ('maid', 'NN')), (('maid', 'NN'), 'nmod:poss', ('Mary-Merope-Thomas-Tom-Tom', 'NNP')), (('Mary-Merope-Thomas-Tom-Tom', 'NNP'), 'case', (""'s"", 'POS')), (('goes', 'VBZ'), 'xcomp', ('work', 'VB')), (('work', 'VB'), 'mark', ('to', 'TO')), (('work', 'VB'), 'nmod:tmod', ('day', 'NN')), (('day', 'NN'), 'det', ('that', 'DT')), (('discovers', 'VBZ'), 'nsubj', ('she', 'PRP')), (('discovers', 'VBZ'), 'xcomp', ('dead', 'JJ')), (('dead', 'JJ'), 'nsubj', ('Mary-Merope-Thomas-Tom-Tom', 'NNP')), (('dead', 'JJ'), 'nmod', ('room', 'NN')), (('room', 'NN'), 'case', ('in', 'IN')), (('room', 'NN'), 'det', ('the', 'DT')), (('room', 'NN'), 'compound', ('drawing', 'NN')), (('discovers', 'VBZ'), 'nmod', ('things', 'NNS')), (('things', 'NNS'), 'advmod', ('still', 'RB')), (('things', 'NNS'), 'case', ('in', 'IN')), (('things', 'NNS'), 'nmod:poss', ('Mary-Merope-Thomas-Tom-Tom', 'NNP')), (('Mary-Merope-Thomas-Tom-Tom', 'NNP'), 'case', (""'s"", 'POS')), (('things', 'NNS'), 'compound', ('dinner', 'NN'))]"
"The police find no evidence of any kind of murder or suicide , claiming to be in perfect health condition except for the fact that they were dead .","['police', 'kind', 'murder', 'suicide', 'they']","['police:find', 'kind:evidence', 'murder:kind', 'suicide:kind', 'they:dead']",['evidence'],['evidence:find'],-0.923,"[(('find', 'VBP'), 'nsubj', ('police', 'NN')), (('police', 'NN'), 'det', ('The', 'DT')), (('find', 'VBP'), 'dobj', ('evidence', 'NN')), (('evidence', 'NN'), 'neg', ('no', 'DT')), (('evidence', 'NN'), 'nmod', ('kind', 'NN')), (('kind', 'NN'), 'case', ('of', 'IN')), (('kind', 'NN'), 'det', ('any', 'DT')), (('kind', 'NN'), 'nmod', ('murder', 'NN')), (('murder', 'NN'), 'case', ('of', 'IN')), (('murder', 'NN'), 'cc', ('or', 'CC')), (('murder', 'NN'), 'conj', ('suicide', 'NN')), (('evidence', 'NN'), 'acl', ('claiming', 'VBG')), (('claiming', 'VBG'), 'ccomp', ('condition', 'NN')), (('condition', 'NN'), 'mark', ('to', 'TO')), (('condition', 'NN'), 'cop', ('be', 'VB')), (('condition', 'NN'), 'case', ('in', 'IN')), (('condition', 'NN'), 'amod', ('perfect', 'JJ')), (('condition', 'NN'), 'compound', ('health', 'NN')), (('condition', 'NN'), 'dep', ('except', 'IN')), (('condition', 'NN'), 'dep', ('fact', 'NN')), (('fact', 'NN'), 'case', ('for', 'IN')), (('fact', 'NN'), 'det', ('the', 'DT')), (('fact', 'NN'), 'dep', ('dead', 'JJ')), (('dead', 'JJ'), 'mark', ('that', 'IN')), (('dead', 'JJ'), 'nsubj', ('they', 'PRP')), (('dead', 'JJ'), 'cop', ('were', 'VBD'))]"
"They arrest Mary-Merope-Thomas-Tom-Tom 's gardener Frank for questioning , since the door and windows was never forced open or shattered on the night of their murder , and Mary-Merope-Thomas-Tom-Tom 's cook testified that he was the only one with a key to the house .","['They', 'night', 'murder', 'cook', 'he', 'key', 'house']","['They:arrest', 'night:shattered', 'murder:night', 'cook:testified', 'he:one', 'key:one', 'house:key']","['Frank', 'door', 'windows']","['Frank:arrest', 'door:forced', 'windows:forced']",-0.845,"[(('arrest', 'VB'), 'nsubj', ('They', 'PRP')), (('arrest', 'VB'), 'dobj', ('Frank', 'NNP')), (('Frank', 'NNP'), 'nmod:poss', ('Mary-Merope-Thomas-Tom-Tom', 'NNP')), (('Mary-Merope-Thomas-Tom-Tom', 'NNP'), 'case', (""'s"", 'POS')), (('Frank', 'NNP'), 'compound', ('gardener', 'NNP')), (('Frank', 'NNP'), 'nmod', ('questioning', 'VBG')), (('questioning', 'VBG'), 'case', ('for', 'IN')), (('arrest', 'VB'), 'advcl', ('forced', 'VBN')), (('forced', 'VBN'), 'mark', ('since', 'IN')), (('forced', 'VBN'), 'nsubjpass', ('door', 'NN')), (('door', 'NN'), 'det', ('the', 'DT')), (('door', 'NN'), 'cc', ('and', 'CC')), (('door', 'NN'), 'conj', ('windows', 'NNS')), (('forced', 'VBN'), 'auxpass', ('was', 'VBD')), (('forced', 'VBN'), 'neg', ('never', 'RB')), (('forced', 'VBN'), 'xcomp', ('open', 'JJ')), (('open', 'JJ'), 'cc', ('or', 'CC')), (('open', 'JJ'), 'conj', ('shattered', 'VBN')), (('shattered', 'VBN'), 'nmod', ('night', 'NN')), (('night', 'NN'), 'case', ('on', 'IN')), (('night', 'NN'), 'det', ('the', 'DT')), (('night', 'NN'), 'nmod', ('murder', 'NN')), (('murder', 'NN'), 'case', ('of', 'IN')), (('murder', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('arrest', 'VB'), 'cc', ('and', 'CC')), (('arrest', 'VB'), 'conj', ('testified', 'VBD')), (('testified', 'VBD'), 'nsubj', ('cook', 'NN')), (('cook', 'NN'), 'nmod:poss', ('Mary-Merope-Thomas-Tom-Tom', 'NNP')), (('Mary-Merope-Thomas-Tom-Tom', 'NNP'), 'case', (""'s"", 'POS')), (('testified', 'VBD'), 'ccomp', ('one', 'NN')), (('one', 'NN'), 'mark', ('that', 'IN')), (('one', 'NN'), 'nsubj', ('he', 'PRP')), (('one', 'NN'), 'cop', ('was', 'VBD')), (('one', 'NN'), 'det', ('the', 'DT')), (('one', 'NN'), 'amod', ('only', 'JJ')), (('one', 'NN'), 'nmod', ('key', 'NN')), (('key', 'NN'), 'case', ('with', 'IN')), (('key', 'NN'), 'det', ('a', 'DT')), (('key', 'NN'), 'nmod', ('house', 'NN')), (('house', 'NN'), 'case', ('to', 'TO')), (('house', 'NN'), 'det', ('the', 'DT'))]"
"Frank , however , said the only person he saw that night was a mysterious dark-haired boy , and was released due to lack of evidence , but many still believed he committed the murders .","['Frank', 'he', 'night', 'lack', 'evidence', 'he']","['Frank:said', 'he:saw', 'night:boy', 'lack:released', 'evidence:lack', 'he:committed']","['person', 'murders']","['person:said', 'murders:committed']",-0.6705,"[(('said', 'VBD'), 'nsubj', ('Frank', 'NNP')), (('said', 'VBD'), 'advmod', ('however', 'RB')), (('said', 'VBD'), 'dobj', ('person', 'NN')), (('person', 'NN'), 'det', ('the', 'DT')), (('person', 'NN'), 'amod', ('only', 'JJ')), (('said', 'VBD'), 'dep', ('saw', 'VBD')), (('saw', 'VBD'), 'nsubj', ('he', 'PRP')), (('saw', 'VBD'), 'ccomp', ('boy', 'NN')), (('boy', 'NN'), 'mark', ('that', 'IN')), (('boy', 'NN'), 'nsubj', ('night', 'NN')), (('boy', 'NN'), 'cop', ('was', 'VBD')), (('boy', 'NN'), 'det', ('a', 'DT')), (('boy', 'NN'), 'amod', ('mysterious', 'JJ')), (('boy', 'NN'), 'amod', ('dark-haired', 'JJ')), (('said', 'VBD'), 'cc', ('and', 'CC')), (('said', 'VBD'), 'conj', ('released', 'VBN')), (('released', 'VBN'), 'auxpass', ('was', 'VBD')), (('released', 'VBN'), 'nmod', ('lack', 'NN')), (('lack', 'NN'), 'case', ('due', 'JJ')), (('due', 'JJ'), 'mwe', ('to', 'TO')), (('lack', 'NN'), 'nmod', ('evidence', 'NN')), (('evidence', 'NN'), 'case', ('of', 'IN')), (('said', 'VBD'), 'cc', ('but', 'CC')), (('said', 'VBD'), 'conj', ('believed', 'VBD')), (('believed', 'VBD'), 'nsubj', ('many', 'DT')), (('believed', 'VBD'), 'advmod', ('still', 'RB')), (('believed', 'VBD'), 'ccomp', ('committed', 'VBD')), (('committed', 'VBD'), 'nsubj', ('he', 'PRP')), (('committed', 'VBD'), 'dobj', ('murders', 'NNS')), (('murders', 'NNS'), 'det', ('the', 'DT'))]"
"Half a century later on the night of  August ,  , an elderly Frank is still working as the groundskeeper at the Riddle house .","['night', 'August', 'Frank', 'groundskeeper', 'house']","['night:working', 'August:night', 'Frank:working', 'groundskeeper:working', 'house:groundskeeper']",[],[],0.0,"[(('working', 'VBG'), 'advmod', ('later', 'RB')), (('later', 'RB'), 'nmod:npmod', ('century', 'NN')), (('century', 'NN'), 'det:predet', ('Half', 'PDT')), (('century', 'NN'), 'det', ('a', 'DT')), (('working', 'VBG'), 'nmod', ('night', 'NN')), (('night', 'NN'), 'case', ('on', 'IN')), (('night', 'NN'), 'det', ('the', 'DT')), (('night', 'NN'), 'nmod', ('August', 'NNP')), (('August', 'NNP'), 'case', ('of', 'IN')), (('working', 'VBG'), 'nsubj', ('Frank', 'NNP')), (('Frank', 'NNP'), 'det', ('an', 'DT')), (('Frank', 'NNP'), 'amod', ('elderly', 'JJ')), (('working', 'VBG'), 'aux', ('is', 'VBZ')), (('working', 'VBG'), 'advmod', ('still', 'RB')), (('working', 'VBG'), 'nmod', ('groundskeeper', 'NN')), (('groundskeeper', 'NN'), 'case', ('as', 'IN')), (('groundskeeper', 'NN'), 'det', ('the', 'DT')), (('groundskeeper', 'NN'), 'nmod', ('house', 'NN')), (('house', 'NN'), 'case', ('at', 'IN')), (('house', 'NN'), 'det', ('the', 'DT')), (('house', 'NN'), 'compound', ('Riddle', 'NNP'))]"
"He sees a fire flickering in one of the rooms and goes over to investigate , thinking it is a couple boys who regularly disturb him .","['He', 'rooms', 'it']","['He:sees', 'rooms:one', 'it:boys']","['flickering', 'him']","['flickering:sees', 'him:disturb']",-0.6249,"[(('sees', 'VBZ'), 'nsubj', ('He', 'PRP')), (('sees', 'VBZ'), 'dobj', ('flickering', 'NN')), (('flickering', 'NN'), 'det', ('a', 'DT')), (('flickering', 'NN'), 'compound', ('fire', 'NN')), (('sees', 'VBZ'), 'nmod', ('one', 'CD')), (('one', 'CD'), 'case', ('in', 'IN')), (('one', 'CD'), 'nmod', ('rooms', 'NNS')), (('rooms', 'NNS'), 'case', ('of', 'IN')), (('rooms', 'NNS'), 'det', ('the', 'DT')), (('sees', 'VBZ'), 'cc', ('and', 'CC')), (('sees', 'VBZ'), 'conj', ('goes', 'VBZ')), (('goes', 'VBZ'), 'compound:prt', ('over', 'RP')), (('goes', 'VBZ'), 'xcomp', ('investigate', 'VB')), (('investigate', 'VB'), 'mark', ('to', 'TO')), (('investigate', 'VB'), 'xcomp', ('thinking', 'VBG')), (('thinking', 'VBG'), 'ccomp', ('boys', 'NNS')), (('boys', 'NNS'), 'nsubj', ('it', 'PRP')), (('boys', 'NNS'), 'cop', ('is', 'VBZ')), (('boys', 'NNS'), 'det', ('a', 'DT')), (('boys', 'NNS'), 'compound', ('couple', 'NN')), (('boys', 'NNS'), 'acl:relcl', ('disturb', 'VB')), (('disturb', 'VB'), 'nsubj', ('who', 'WP')), (('disturb', 'VB'), 'advmod', ('regularly', 'RB')), (('disturb', 'VB'), 'dobj', ('him', 'PRP'))]"
