"paragraph","nrc_sentiment","no_of_interactions","sentence_id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" The seventh and final book begins with Tom and his Death having a meeting at Malfoy .",-0.75,1," 1",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.05417,-1.13083,0.11333
" They are beginning to plan out how to kidnap Harry during his evacuation from  Privet when he will be vulnerable . After `` borrowing '' Lucius 's wand in order to annihilate Harry once and for all -- Tom does so in a way that indicates Malfoy has no choice -- Tom kills Lucius 's captive , Charity -LRB- the Muggle Studies professor at Hogwarts -RRB- for teaching the subject and penning an article suggesting that Muggles should be treated as equals to pure-bloods .",-0.825,2," 2 3",0.266666666666667,0.0666666666666667,0,0.2,0.0666666666666667,0.266666666666667,0.0666666666666667,0.0666666666666667,0.34518,-1.06536,0.37714
" It 's revealed during this meeting that Lucius has lost all of Tom 's respect and that the Dark Lord 's favour has shifted to Lucius 's sister-in-law Bellatrix , who has helped wreak chaos on the wizarding community ; Severus , who has enabled a clear field for his master 's rise to power with his murder of Albus at Hogwarts ; and Corban , who has enabled the Death to infiltrate the Ministry of Magic by means of the Imperius Curse .",-1.6,1," 4",0.172413793103448,0.0689655172413793,0.137931034482759,0.137931034482759,0.0689655172413793,0.206896551724138,0.0689655172413793,0.137931034482759,0.13033,-0.64333,0.39233
" Harry , meanwhile , is rummaging through his school trunk , sorting what he will need to take with him from what will be left behind .",0,1," 5",0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333,-1.249,0.577
" While taking a break , he reads some articles about Albus .",-0.25,1," 6",0,0,0,0,0,0,1,0,0.28875,-0.87375,0.1875
" One is sympathetic , the other critical .",0.4,1," 7",0,0,0,0.25,0.25,0.25,0,0.25,0.66,-1.436,0.516
" In those obituaries , it is revealed that Albus ' father Percival supposedly hated Muggles and had attacked three Muggle boys , earning himself imprisonment in Azkaban , where he later died .",-2.5,1," 8",0.2,0,0.2,0.2,0,0.2,0,0.2,-0.42667,-0.25,-0.1575
" The other article is an interview by Rita , concerning a forthcoming biography of Albus entitled The Life and Lies of Albus , in which she hints that Albus was responsible for the death of his younger sister Ariana , and that he was , at one time , a wizarding supremacist with Gellert .",-1.1,1," 9",0.125,0.25,0.125,0.125,0,0.125,0.125,0.125,0.55853,-0.99353,0.76706
" Harry is beginning to have regrets about not having asked Albus more about Albus 's past , but this is soon forgotten as Albus leaves Albus 's home that night .",-1,1," 10",0.25,0,0,0.25,0,0.5,0,0,0.62625,-1.15208,0.51833
" Albus convinces Petunia , Vernon , and Dudley that they need to leave as well to avoid being captured by the Death .",-0.1,1," 11",0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0,0.222222222222222,0.222222222222222,0,-0.1225,-0.62,-0.01125
" Eventually Order of the Phoenix members Dedalus and Hestia Jones arrive to escort them to an undisclosed location .",0,1," 12",0,0.666666666666667,0,0,0,0,0,0.333333333333333,0.86,-0.688,1.422
" Before leaving , Dudley admits that Albus cares about Harry and thanks him for saving Albus 's soul during the Dementor attack of  , and they shake hands .",2.25,1," 13",0.5,0,0,0.25,0,0.25,0,0,0.77444,-0.58889,0.76111
" Petunia burst into tears saying what a gentleman her son was , yet Hestia objected , saying he did n't really say , `` Thank you . '' but Harry tells her he was . Soon after , the Order of the Phoenix arrives with a plan to sneak Harry away from his house and avoid being captured by Tom . After initially opposing the plan , Harry acquiesces , seeing that he has no choice , and Ronald , Fred , and George , along with Hermione , Fleur , and Mundungus , take Polyjuice to make themselves look like Harry , in order to act as decoys for Tom . Each depart with a different Order member -LRB- Ronald with Nymphadora , Fred with his father Arthur , George with Remus , Hermione with Kingsley , Fleur with William , and Mundungus with Alastor -RRB- to protect them while riding on broomsticks or Thestrals , while Harry leaves with Rubeus in a side-car attached to Sirius 's motorcycle .",0.27,5," 14 15 16 17 18",0.277777777777778,0.166666666666667,0,0.111111111111111,0,0.277777777777778,0.0555555555555556,0.111111111111111,0.77933,-0.92056,0.782
" However , the plan goes badly wrong as the group is attacked by Death almost immediately after taking off , during which Hedwig is killed .",-3.75,1," 19",0.111111111111111,0.333333333333333,0.111111111111111,0.111111111111111,0,0.222222222222222,0.111111111111111,0,-0.601,-0.227,-0.3305
" Harry fights off Death Eaters by firing curses and hexes at them , while Rubeus uses a number of gadgets the motorcycle is now equipped with a deployable solid brick wall , a net , and a dragon-fire booster . The Death discover the real Harry after he attempts to Disarm an Imperiused Stanley .",-1.5,2," 20 21",0.210526315789474,0.105263157894737,0.105263157894737,0.210526315789474,0,0.210526315789474,0.105263157894737,0.0526315789473684,-0.23325,-0.7855,0.20225
" Moments later , Tom joins in the pursuit .",-0.4,1," 22",NA,NA,NA,NA,NA,NA,NA,NA,0.57333,-0.46,0.46667
" Rubeus leaps off the bike at another Death , and as Tom is about to kill Harry , the latter 's wand acts of its own accord and shoots a curse at Tom that breaks Lucius ' wand .",-1.85,1," 23",0.2,0.0666666666666667,0.133333333333333,0.2,0,0.266666666666667,0.0666666666666667,0.0666666666666667,-0.49708,-0.51917,0.07333
" Tom attempts to strike again , but at that moment , Harry enters the protective charms of the Nymphadora ' home , and Tom and the Death Eaters are unable to follow him .",-1.5,1," 24",0.3,0.1,0.1,0.1,0,0.3,0.1,0,0.25625,-0.7525,0.38792
" Harry finds that Rubeus has crashed in the garden and he is able to get out a simple `` Rubeus ? ''",0,2," 25",0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0,1.0675,-1.43875,0.65125
" before he too collapses .",-0.8,1," 26",NA,NA,NA,NA,NA,NA,NA,NA,-1.63,1.14,-1.26
" When Harry wakes up , he meets Nymphadora ' parents , Andromeda , who have been taking care of him and Rubeus .",1,1," 27",0.5,0,0,0,0,0.5,0,0,1.27,-1.31571,0.60143
" The couple show the two a Portkey , which transports them straight to the Burrow .",0.6,1," 28",0,0,0,0,0,0,0,1,1.15,-1.068,0.504
" There , the casualties are counted : Hedwig was killed by a Killing Curse from a Death ; George 's ear was cursed off by Severus ; and Mad-Eye was killed by Tom himself .",-3.25,1," 29",0.25,0.05,0.15,0.25,0,0.25,0.05,0,-0.91308,-0.36577,-0.08846
" Harry later has a vision regarding his escape , as a result of a connection between his and Tom 's minds , in which Tom questions Garrick , who crafted the wands , about why Harry 's wand acted as it did .",0.25,1," 30",0.166666666666667,0.5,0,0.166666666666667,0,0.166666666666667,0,0,0.94538,-1.01154,1.07231
" Garrick is unable to explain .",-0.5,1," 31",0,0,0,0,0,0.5,0,0.5,-0.15,-1.32,-0.06667
" During their time at the Burrow , Harry , Ronald , and Hermione are kept busy with preparations for William and Fleur 's wedding , which Harry suspects is an attempt by Molly to stop their planning and delay their departure .",-1.65,1," 32",0.181818181818182,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0.272727272727273,0,0.0909090909090909,0.26462,-1.085,0.09385
" Nevertheless , they manage to get together and discuss their plans for completing the quest Albus left them , to find and destroy Tom 's Horcruxes .",1.1,1," 33",0,0.5,0,0,0.25,0,0,0.25,0.48778,-1.07333,0.93667
" The day before the wedding , Harry 's th birthday , he dreams of Tom searching for someone known as `` Mykew . '' For his birthday , he receives a number of gifts , the most useful being a new sneakoscope from Hermione .",1.975,2," 34 35",0.125,0.25,0,0,0.25,0.125,0.25,0,1.70923,-0.81308,0.82769
" Knowing that Harry was about to leave , Ginevra passionately kisses him as something to remember her by , which Ronald `` accidentally '' interrupts . Later in the day , Minister for Magic Rufus Scrimgeour , arrives at the Burrow to give Harry , Ronald , and Hermione ' personal effects , which had been bequeathed to them in his will :",0.2,2," 36 37",0.25,0,0,0,0,0.375,0.25,0.125,0.945,-0.93333,0.66167
" The sword is withheld because , Rufus claimed , it was not Albus ' to give .",0,1," 38",NA,NA,NA,NA,NA,NA,NA,NA,0.70167,-0.875,0.52333
" The three try to discover the purpose of the objects given to them , but are forced to give their attention to other matters , specifically William and Fleur 's wedding the following day .",-0.25,1," 39",0,0,0,1,0,0,0,0,1.22633,-0.74,0.82467
