"paragraph","nrc_sentiment","no_of_interactions","sentence_id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" The Prime receives a notice that Cornelius is to meet him .",0.1,1," 1",NA,NA,NA,NA,NA,NA,NA,NA,1.27,-1.094,0.924
" He then recollects Cornelius 's earlier meetings with him : his first meeting with Fudge soon after he became the Prime , Sirius 's escape from Azkaban , the  , the Triwizard and the  Azkaban mass breakout .",-0.15,1," 2",0,0.5,0,0.5,0,0,0,0,0.74444,-0.91056,0.765
" When Cornelius finally arrives , he reveals a number of incidents which had occurred in the Muggle world and for which the Prime is forced to owe responsibility : the collapse of the Brockdale Bridge , a supposed hurricane in the West , the deaths of Amelia Bones and Emmeline Vance and the insanity of Junior Minister Herbert Chorley which have all been caused by Tom , his followers the Death Eaters and their Giant allies .",-2.8,1," 3",0.0952380952380952,0.0952380952380952,0.19047619047619,0.285714285714286,0.0476190476190476,0.142857142857143,0.0952380952380952,0.0476190476190476,-0.02661,-0.55089,0.16839
" In short , the Second Wizarding War has begun .",-0.5,1," 4",0,0.5,0,0.5,0,0,0,0,0.081,-1.237,-0.11
" Fudge also reveals that he has been sacked and replaced by Rufus as Minister for Magic .",0.25,1," 5",NA,NA,NA,NA,NA,NA,NA,NA,1.045,-0.80625,0.64625
" Scrimgeour too meets the Prime and discusses security arrangements with him .",0.1,1," 6",NA,NA,NA,NA,NA,NA,NA,NA,1.02,-1.326,1.032
" He also reveals that Cornelius will be a laison between them . Narcissa and her sister Bellatrix visit Severus at Spinner 's End , a poverty-stricken neighbourhood in a northern mill town .",0.2,2," 7 8",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333,0,0,0.661,-1.396,0.436
" Narcissa wants Severus to help her protect her son Draco , who has been made a Death and has been assigned a mission by Tom himself . Bellatrix advises against this , distrusting Severus for not taking part in the Battle of the Department of Mysteries at the Ministry of Magic , and for his many suspicious actions through the years which make her doubt whether Severus is actually on their side . Severus explains his behaviour : He was at Hogwarts when Tom fell to be a spy for him , he did n't seek him out for the same reason her brother in law and the other deserters did n't look for him , he stopped Tom from getting the Philosopher 's Stone because he thought Quirinus wanted it for himself , he never tried to kill Harry because Albus would know about it , and he did n't take part in the Battle of the Department of Mysteries because Tom ordered him to stay at Hogwarts . Severus also tells Narcissa that he knows about Draco 's mission . Bellatrix tells her sister she should be proud but Narcissa believes that Tom is sending him on a suicide mission as punishment for her husband 's failure . Severus offers to help Draco . Narcissa asks him to make an Unbreakable Vow and he agrees . With Bellatrix as their Bonder , Narcissa asks Severus to agree to the following terms :",-0.39375,8," 9 10 11 12 13 14 15 16",0.195121951219512,0.146341463414634,0.0731707317073171,0.146341463414634,0.0731707317073171,0.170731707317073,0.024390243902439,0.170731707317073,0.51631,-0.92298,0.52696
" Severus agrees to all three terms and the vow is made .",1.1,1," 17",0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,1.17333,-1.34833,0.935
" Albus comes to visit Harry at  Privet to take him to The Burrow , where he would spend the rest of his summer holidays .",0.4,1," 18",0.5,0,0,0,0,0.5,0,0,1.32333,-0.94444,0.73889
