"paragraph","nrc_sentiment","no_of_interactions","sentence_id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" Harry remains at his house ,  Privet , living with his Muggle aunt , uncle and cousin and severely cut off from the rest of the wizarding world . The neighbourhood is suffering from an exhausting heat wave and due to this , Harry spends the majority of his summer out of the house , going on walks and trying to avoid his aunt and uncle as much as possible because the paranoid pair wo n't stop badgering him over his interest in the news . He is constantly rummaging through bins for old newspapers , searching for front-page news about the return of Tom in the Daily Prophet .",-0.6,3," 1 2 3",0.105263157894737,0.105263157894737,0.105263157894737,0.157894736842105,0.0526315789473684,0.157894736842105,0,0.315789473684211,0.66357,-1.05274,0.27238
" However , nothing unusual is reported , so Harry assumes that the Minister for Magic , Cornelius is still as oblivious and in denial of Tom 's return as he was before . After running into his cousin , Dudley and his street gang on a walk , Harry confronts Dudley after his gang leaves which turns into an argument , where Dudley mocks Harry about Cedric 's death , having heard Harry use that name in his sleep . Harry immediately denies it and when Harry takes out his wand and pretends to curse Dudley with it ; a cold chill comes onto the duo and Harry and Dudley are then attacked by Dementors .",-2.7,3," 4 5 6",0.35,0.1,0.1,0.15,0,0.25,0.05,0,-0.01962,-0.67551,0.25833
" Harry attempts the Patronus Charm three times and is successful on the last try , and is surprised to find Arabella , his old , cat-loving neighbour , storming up the road towards the two teenagers .",1.5,1," 7",0.222222222222222,0.111111111111111,0,0,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,0.995,-0.84063,0.55594
" He tries to hide his wand , but she tells him to keep it out in case more of them show up .",0,1," 8",0,0,0,0.5,0,0.25,0,0.25,0.45714,-1.22071,0.47214
" She is furious about Mundungus , who was supposed to be watching Harry and Apparition from the front of  Privet only moments earlier .",-1,1," 9",0.333333333333333,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.35625,-0.99687,0.31188
" While angry over the situation , Arabella explains to a surprised Harry she is actually a Squib . The two take a Demented Dudley back to Privet , where Arabella mentions she was sent by Albus to watch over Harry and also kept his visits to her house boring so Marjorie-Petunia-Vernon-Dudley would not send Harry elsewhere if he were happy . After Mundungus shows up , Arabella scolds him for his foolish actions before sending him to inform Albus of this situation so he can act quickly . Just before they part , Harry learns that Albus has been keeping him under observation in order to protect him after what had happened with Tom last month . When Petunia and Vernon notice Dudley in his sickly state they fawn over him and Harry attempts to slip away , but Dudley speaks and assumes that Harry attacked him with some sort of spell since Muggles can not see Dementors . Before Harry can explain himself , the Ministry of Magic sends Harry a letter telling him that he 's been expelled from Hogwarts for underage magic . Before Harry attempts to run away before Ministry officials would come by to destroy his wand , another letter from Arthur arrives telling Harry that Albus is trying to sort this out and to stay put in his house , not surrender his wand , and not to perform any more magic .",-0.728571428571429,7," 10 11 12 13 14 15 16",0.205882352941176,0.117647058823529,0.0588235294117647,0.0882352941176471,0.0882352941176471,0.235294117647059,0.0588235294117647,0.147058823529412,0.55006,-0.97063,0.48057
" As Harry is explaining that Dementor are responsible , Petunia surprisingly shows she has some knowledge of Dementor . A second letter from the Ministry arrives stating that Albus has convinced them to set up a hearing on  August to decide whether or not to break Harry 's wand and Harry is being placed on suspension instead of being expelled . After Harry explains to Marjorie-Petunia-Vernon-Dudley about the Dementor 's abilities , Vernon blames Harry and is ready to throw Harry out , as he has always yearned to do so since receiving Harry , when Petunia receives a Howler . Before she has an opportunity to open the letter , it bursts into flames and a menacing voice says , `` Remember my last , Petunia '' . Petunia then immediately convinces her husband to let Harry remain at Privet and tells Harry that he needs to stay in his room .",0.34,5," 17 18 19 20 21",0.185185185185185,0.259259259259259,0,0.111111111111111,0.0740740740740741,0.148148148148148,0.111111111111111,0.111111111111111,0.84439,-1.07982,0.78825
" Harry has no idea of what 's going on .",0,1," 22",0.5,0,0,0,0,0.5,0,0,1.3525,-0.8825,0.665
" Harry immediately writes letters to Sirius , Hermione , and Ronald . After four days of being locked in his room , while dealing with his anger from the lack of response , uncle Vernon , Petunia , and Dudley leave to attend an award ceremony for the best kept suburban lawn in England -LRB- which was a hoax set up by Nymphadora to lure Marjorie-Petunia-Vernon-Dudley away from Marjorie-Petunia-Vernon-Dudley 's house -RRB- and a number of witches and wizards -LRB- auto denominated the `` Advance '' -RRB- come to rescue Harry from Marjorie-Petunia-Vernon-Dudley 's home .",-0.175,2," 23 24",0.153846153846154,0.153846153846154,0.0384615384615385,0.0384615384615385,0.153846153846154,0.153846153846154,0.230769230769231,0.0769230769230769,0.66621,-1.08758,0.69682
" Marjorie-Petunia-Vernon-Dudley are members of the Order of the Phoenix , an elite group whose members fight Tom and the Death .",-0.75,1," 25",0.181818181818182,0.181818181818182,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0475,-0.63562,0.53687
