"paragraph","nrc_sentiment","no_of_interactions","sentence_id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" Vernon and Petunia , with their one-year-old son Dudley , are proud to say that they are the most normal people possible .",0.75,1," 1",0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,1.37889,-1.08556,0.93333
" They happily occupy  Privet , located in the Surrey town of Little Whinging .",0.75,1," 2",0,0,0,0,1,0,0,0,0.45333,-0.90667,0.31333
" Vernon is the director of a drill company called Grunnings , while Petunia does housework and looks after Dudley , yet she always spends so much time craning over garden fence to spy on the neighbours .",0.85,1," 3",0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0.56036,-1.21357,0.52857
" Despite all this , Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley are the least people anyone expects to be involved in anything funny or disturbing , for Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley do n't hold with such nonsense in Lestrange-Marjorie-Peverell-Riddle-Weasley-Malfoy-Petunia-Roberts-Vernon-Potter-Dudley-Dursley 's daily lives . The story begins on a Tuesday  November ,  , where many absurd things happen . When Marjorie-Petunia-Vernon-Dudley are gossiping happily at breakfast trying to wrestle Dudley in Vernon 's high chair , none of Marjorie-Petunia-Vernon-Dudley even notice a large tawny owl flutter pass Marjorie-Petunia-Vernon-Dudley 's window .",0.0333333333333333,3," 4 5 6",0,0.4,0.2,0,0.2,0,0.2,0,0.68219,-0.91719,0.32859
" It eventually comes to Vernon 's attention when he is heading to work shortly afterwards , and sees a silver tabby cat reading a map and later a street sign .",0.6,1," 7",0,1,0,0,0,0,0,0,1.0825,-1.12333,0.90083
" He attempts to convince himself that these are merely coincidences .",0.5,1," 8",0,0.5,0,0,0,0,0,0.5,0.72125,-1.0075,0.66875
" Next , he sees people in cloaks talking in hushed voices , and while he is sitting in his office , a flock of owls fly past his window .",0,1," 9",NA,NA,NA,NA,NA,NA,NA,NA,0.82,-1.31321,0.43
" On his break , Vernon goes to a bakery to get a bun and sees another group of extravagantly-cloaked figures .",-0.25,1," 10",0,0,0,0,0,0,1,0,0.66187,-1.07625,0.31812
" Even though they are speaking in hushed voices , Harry eavesdrops on some of their conversation , which includes a mention of `` Harry-James-Campaign-Ginevra and their son Harry . ''",0,2," 11",0.5,0,0,0,0,0.5,0,0,0.859,-1.456,0.34
" Vernon finds this horrifying , because Harry-James-Campaign-Ginevra are the family of Petunia 's sister Lily . Harry and Petunia will be embarrassed if people find out that they are related to them , as Lestrange-Harry-Peverell-James-Riddle-Weasley-Malfoy-Roberts-Potter-Campaign-Dursley-Ginevra are very strange , in their opinion .",-0.825,2," 12 13",0.222222222222222,0,0.111111111111111,0.111111111111111,0,0.333333333333333,0.111111111111111,0.111111111111111,0.85529,-1.09118,0.55706
" When he leaves his workplace at the end of the day , he bumps into a very small , cloaked man , who tells him that someone named `` You-Know-Who '' has been defeated , and that even Muggles like Vernon should be celebrating .",0.25,1," 14",0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0.61719,-0.94938,0.20156
" Vernon does n't know what a Muggle is , but is offended that the man called him one .",-0.75,1," 15",0.5,0,0,0,0,0.5,0,0,0.67875,-1.38062,0.50563
" That night , when Vernon arrives at home , he turns on the news and becomes suspicious when the newsman states that owls have been seen everywhere earlier in the day , and that fireworks have been spotted in Kent .",-0.75,1," 16",0.5,0.5,0,0,0,0,0,0,0.94222,-1.15167,0.48944
" Vernon asks Petunia if she and her sister have been in touch , but she becomes angry and denies it as she does not like to talk about her .",-0.35,1," 17",0.5,0,0.5,0,0,0,0,0,0.83333,-0.82583,0.71917
" When Marjorie-Petunia-Vernon-Dudley go to bed , a long bearded old man in a purple cloak appears out of nowhere outside of their home .",0,1," 18",0,1,0,0,0,0,0,0,0.71625,-1.0275,0.62562
" The man , Albus , syphons all of the light from the street lamps with his Deluminator , then meets with the cat that Vernon had seen earlier that morning , who transforms into a whisky old woman named Minerva .",0,1," 19",NA,NA,NA,NA,NA,NA,NA,NA,0.85923,-1.165,0.675
" They quietly speak about the deaths of James and Lily Potter at the hands of someone called `` Tom '' at the Potter cottage in the West village of Godric 's Hollow , and how their son Harry has miraculously survived the attack . A few moments later , a motorbike with a gigantic man , Rubeus , riding it lands right in front of them , carrying baby Harry .",0.9,2," 20 21",0.375,0,0,0.125,0.125,0.375,0,0,0.76318,-0.74568,0.39977
" He hands him over to Albus , who leaves the sleeping baby and a letter to Marjorie-Petunia-Vernon-Dudley on the doorstep of  Privet .",0.6,1," 22",0,0.5,0,0,0.5,0,0,0,0.83667,-1.0925,0.3975
" Rubeus himself leaves to bring the motorbike back to its actual owner , but not before giving Harry a kiss goodbye on the scarred forehead -LRB- which burns his lips -RRB- .",-0.25,1," 23",0.2,0.2,0,0,0.2,0.2,0.2,0,0.67,-0.4325,0.5675
" Minerva reverts back into the cat and slinks around the corner at the other end of the street , but Albus stays to unsyphon the the light from the street lamps and bid Harry farewell before vanishing without a trace .",-0.6,1," 24",0.5,0,0,0,0,0.5,0,0,0.13267,-1.415,0.36233
" Harry rolls over inside his bundle of blankets with his small hand closing on the letter as he sleeps on , not knowing he is special and famous , nor that he will be woken up the next morning by his Petunia 's scream when she opens the front door to put out the milk bottles , nor that he will be spending the next few weeks being prodded and pinch by his cousin Dudley .",0.1,1," 25",0.25,0.125,0.125,0.125,0.125,0.125,0.125,0,0.80383,-1.3555,0.68133
" And he will never know that at this very moment , people meeting in secret all over the country are holding up glasses and saying in hushed voices : `` To Harry -- the boy who lived ! '' Ten years pass since Marjorie-Petunia-Vernon-Dudley have awoken to find Harry lying on their doorstep , and Privet and Marjorie-Petunia-Vernon-Dudley 's house has not changed since that day .",-0.125,2," 26 27",0.375,0,0.25,0,0,0.25,0,0.125,0.86519,-1.15667,0.71593
" The only difference is the vast number of pictures of Dudley throughout his life . There is no sign that Harry lives there , however , in the Cupboard Under the Stairs , Harry .",0,2," 28 29",0.5,0,0,0,0,0.5,0,0,1.0205,-1.098,0.786
" Petunia comes to his door and wakes him with a shrill voice .",-0.75,1," 30",0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0.615,-1.00833,0.52167
" Harry is trying to think about the dream he had been having . It was about a flying motorbike , and he thinks he has had the same dream before .",0.3,2," 31 32",0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,1.275,-1.05786,0.71286
" Petunia tells him to make some bacon , as she wants everything perfect for Dudley 's th birthday .",1.55,1," 33",0,0.333333333333333,0,0,0.333333333333333,0,0.166666666666667,0.166666666666667,1.38,-0.64571,0.84286
" Harry dresses into a pair of Dudley 's old clothes , and goes into the kitchen , where the table is covered in Dudley 's presents .",0,1," 34",0.5,0,0,0,0,0.5,0,0,0.893,-1.091,0.8
" Harry has jet-black hair and green eyes .",0,1," 35",0.2,0,0,0,0.2,0.4,0,0.2,1.17625,-1.28375,0.97
" His glasses are held together by tape because Dudley has smashed them so many times .",-0.6,1," 36",NA,NA,NA,NA,NA,NA,NA,NA,0.64357,-1.08429,0.49
" The thing that distinguishes Harry from others the most is the lightning-shaped scar on his forehead .",-0.5,1," 37",0.333333333333333,0,0.111111111111111,0.222222222222222,0,0.222222222222222,0.111111111111111,0,0.27333,-0.88556,0.54556
" He often wonders how he got it and Marjorie-Petunia-Vernon-Dudley have told him that he got it from the car crash that killed Harry 's parents .",-1.25,1," 38",0.2,0,0,0.2,0,0.4,0.2,0,0.34778,-0.77833,0.23889
" Harry does n't know much more about the accident though because Marjorie-Petunia-Vernon-Dudley 's first rule is to not ask questions .",-0.5,1," 39",0.142857142857143,0,0,0.285714285714286,0,0.285714285714286,0.142857142857143,0.142857142857143,0.6375,-1.12625,0.34875
" Dudley comes in to the kitchen and begins to count his presents , only to find  , which he angrily recalls is one fewer than the year before . Petunia states that they are going to buy him two new presents while they are out . Vernon tells Petunia that Arabella , their next-door neighbour , has broken her leg and can not take care of Harry while they are at the Zoo . They can't think of anyone else who can take care of him , so Harry has to go with them . Dudley is allowed to take a friend to the Zoo and chooses his friend Piers .",0.47,5," 40 41 42 43 44",0.3,0,0,0.1,0.1,0.3,0,0.2,1.1164,-1.18744,0.73209
" Piers comes to the house with his mother . A half-hour later , Harry sits in the car with Dudley , Piers , Vernon and Petunia . On the way , a motorbike overtakes them and Vernon complains about them .",-0.433333333333333,3," 45 46 47",0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.333333333333333,0,0.166666666666667,0.794,-0.821,0.747
" Harry explains that he had a dream about a flying motorbike once and Vernon snappily reminds him that motorbikes do not fly .",0.35,1," 48",0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0.88222,-0.45333,0.76444
" Harry thinks about all the strange things that have happened to him : He once turned his teacher 's wig blue , jumped onto the school chimney , and grew all of his hair back the morning after a haircut .",-0.25,1," 49",0.2,0,0,0,0,0.4,0,0.4,0.81706,-1.49176,0.78059
" At the zoo , Dudley and Piers find the animals boring .",-1,1," 50",NA,NA,NA,NA,NA,NA,NA,NA,0.805,-0.925,1.085
" Harry is left to watch a Boa constrictor as it sleeps and , when Dudley tries to make it move , it wakes up but still does n't move .",0,1," 51",0.25,0.25,0,0.25,0,0.25,0,0,0.52455,-1.02455,0.53545
" The snake begins to move after Dudley and Piers slink away . Moments later , Harry speaks to the snake and finds that it miraculously understands him . Piers calls Dudley and Vernon back to the snake 's exhibit upon realising that it is now moving . Dudley pushes Harry out of the way and presses his face against the glass . Harry becomes angry and somehow the glass vanishes and the snake gets out scaring Dudley and Piers . As the snake slithers away , Harry thinks that he hears it speak back to him . Vernon blames Harry for what happened and sends him to his cupboard -- with no meals for a week as punishment . Ever since the boa constrictor escaped from the zoo , and Vernon blamed it on Harry , he was locked in his cupboard for the longest time ever . When Harry is finally allowed out , it 's the beginning of the summer holidays . Even though he is not at school , Harry still ca n't escape Dudley and his gang , who regularly visit the house . To keep out of their way , Harry usually wanders around Privet .",-0.331818181818182,11," 52 53 54 55 56 57 58 59 60 61 62",0.25531914893617,0.0851063829787234,0.170212765957447,0.191489361702128,0.0212765957446809,0.191489361702128,0.0212765957446809,0.0638297872340425,0.41379,-0.75056,0.2725
" He is glad , however , that Dudley and Piers are going to Smeltings , while Harry is going to attend Stonewall . One day during the summer , Harry is told to get the post for Vernon .",0.375,2," 63 64",0.333333333333333,0.166666666666667,0,0,0.166666666666667,0.333333333333333,0,0,1.08333,-1.18467,0.75133
" When Harry goes to get the mail , there are three letters : a postcard from Vernon 's sister , who is on holiday in the Isle of Wight , a letter that looks like a bill , and a letter for Harry .",1.3,1," 65",0.166666666666667,0.5,0,0,0.166666666666667,0.166666666666667,0,0,0.945,-1.22094,0.54219
" Harry takes the letter , studies the yellow parchment it is made of , then reads the address : Harry ca n't believe it . He has never had a letter in his life . On the back there is a wax seal with a Gryffindor , Snake , Badger and Eagle surrounding an H. Harry returns to the kitchen and gives Vernon the other two letters as he sits down and starts to open the letter . Dudley soon sees that Harry has a letter and Vernon snatches it from him to read with Petunia . Vernon tells Harry and Dudley to get out of the kitchen , so they both go and stand in the hall .",-0.15,5," 66 67 68 69 70 71",0.294117647058824,0.235294117647059,0.0588235294117647,0.0588235294117647,0,0.235294117647059,0,0.117647058823529,0.80344,-1.28167,0.53478
" The two fight over who gets to look through the keyhole . Dudley wins , so Harry resorts to looking through the gap between the floor and the door .",0,2," 72 73",0.5,0,0,0.25,0,0.25,0,0,0.76636,-0.93636,0.82091
" Vernon and Petunia are discussing the seal on the back . Vernon says that they should just ignore it .",-0.375,2," 74 75",0,0,0,0,0,0,0,1,0.32714,-1.61429,0.73429
" Later , when Harry is in his cupboard , Vernon comes in and says that he has burned the letter , and that they are moving him up to Dudley 's second bedroom . Slightly surprised , Harry moves all of his things up to the bedroom , wishing he had his letter .",0.1,2," 76 77",0.285714285714286,0.285714285714286,0,0,0,0.285714285714286,0.142857142857143,0,0.74333,-1.01944,0.67222
" The next morning at breakfast , Dudley is asked to get the post by Vernon .",0.6,1," 78",NA,NA,NA,NA,NA,NA,NA,NA,1.17833,-1.14833,1.15667
" After banging things all the way down the hall with his Smeltings stick , Dudley calls out that there is another letter addressed to Harry , this time in '' ` The Smallest Bedroom '' ' , rather than '' ` The Cupboard Under the Stairs '' ' . Both Harry and Vernon rush to the hallway in an attempt to get the letter . After a minute of confused fighting , Vernon emerges clutching the letter in his hand .",-0.433333333333333,3," 79 80 81",0.25,0.5,0,0,0,0.166666666666667,0,0.0833333333333333,0.56955,-1.19659,0.51682
" Determined to see what his letter says , Harry creeps down the stairs early the next morning and approaches the door . He is going to camp there until the post arrives , then he will finally get to read his letter . When he reaches the door , however , he stands on Vernon - who had the very same idea .",0.0333333333333333,3," 82 83 84",0.111111111111111,0.333333333333333,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.78435,-1.13848,0.99478
" Every day , letters appear addressed to Harry , and they are doubling in number .",0,1," 85",0.5,0,0,0,0,0.5,0,0,0.81143,-1.66071,0.46786
" Eventually , there are so many letters arriving that Vernon resorts to nailing shut the letter box .",0,1," 86",0,1,0,0,0,0,0,0,0.85714,-1.34,0.72857
" But they begin to appear in the strangest of places : under the door , squeezed through the window , and Petunia even finds some while cracking open eggs . Finally , they get attacked by thirty or forty letters being fired out of the fireplace .",-0.875,2," 87 88",0,0.2,0.2,0,0.2,0,0.2,0.2,0.332,-1.00225,0.542
" Despite the sender 's efforts , Harry still does not manage to get his hands on one of the letters for long enough to read it and a furious Vernon states that they are leaving the house .",-0.85,1," 89",0.333333333333333,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0.685,-1.21679,0.72393
" They get into their car and leave ten minutes later . They travel for miles until they eventually stop in front of a gloomy hotel on the brink of the city .",-0.825,2," 90 91",0,0,0,0,0,0.666666666666667,0.333333333333333,0,0.52333,-0.88833,0.16833
" Vernon 's attempt to shake the sender off are not successful , however , as more letters come for Harry to the hotel the very next morning .",0.75,1," 92",0.166666666666667,0.333333333333333,0,0,0.166666666666667,0.166666666666667,0,0.166666666666667,1.07722,-0.94833,1.07778
" Again , they get back in the car and finally stop get on a boat that takes them to an island with a small hut on it .",0,1," 93",0,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.7655,-1.2435,0.4335
" Harry remembers that the next day will be his eleventh birthday .",0.8,1," 94",0.2,0.2,0,0,0.2,0.2,0.2,0,1.146,-1.462,1.016
