Sentence,Subject Characters,Actions with Subject Charcater,Object Characters,Objects and Actions,sentence sentiment score,dependency_tree
"Harry has returned to Marjorie-Petunia-Vernon-Dudley for the summer holiday in mid- , and things are very bad for Vernon .","['Harry', 'Marjorie-Petunia-Vernon-Dudley', 'holiday', 'mid', 'things', 'Vernon']","['Harry:returned', 'Marjorie-Petunia-Vernon-Dudley:returned', 'holiday:Marjorie-Petunia-Vernon-Dudley', 'mid:Marjorie-Petunia-Vernon-Dudley', 'things:bad', 'Vernon:bad']",[],[],-0.2716,"[(('returned', 'VBN'), 'nsubj', ('Harry', 'NNP')), (('returned', 'VBN'), 'aux', ('has', 'VBZ')), (('returned', 'VBN'), 'nmod', ('Marjorie-Petunia-Vernon-Dudley', 'NNP')), (('Marjorie-Petunia-Vernon-Dudley', 'NNP'), 'case', ('to', 'TO')), (('Marjorie-Petunia-Vernon-Dudley', 'NNP'), 'nmod', ('holiday', 'NN')), (('holiday', 'NN'), 'case', ('for', 'IN')), (('holiday', 'NN'), 'det', ('the', 'DT')), (('holiday', 'NN'), 'compound', ('summer', 'NN')), (('Marjorie-Petunia-Vernon-Dudley', 'NNP'), 'nmod', ('mid', 'NNP')), (('mid', 'NNP'), 'case', ('in', 'IN')), (('returned', 'VBN'), 'cc', ('and', 'CC')), (('returned', 'VBN'), 'conj', ('bad', 'JJ')), (('bad', 'JJ'), 'nsubj', ('things', 'NNS')), (('bad', 'JJ'), 'cop', ('are', 'VBP')), (('bad', 'JJ'), 'advmod', ('very', 'RB')), (('bad', 'JJ'), 'nmod', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', ('for', 'IN'))]"
"Over the summer , Marjorie-Petunia-Vernon-Dudley have become so fearful of Harry 's new-found magical abilities that Marjorie-Petunia-Vernon-Dudley have locked away all of Harry 's magical supplies -LRB- e.g. Vernon 's wand , Vernon 's broomstick , spellbooks , etc. -RRB- immediately after Vernon 's arrival home .","['summer', 'Marjorie-Petunia-Vernon-Dudley', 'abilities', 'Marjorie-Petunia-Vernon-Dudley', 'supplies', 'home']","['summer:become', 'Marjorie-Petunia-Vernon-Dudley:become', 'abilities:fearful', 'Marjorie-Petunia-Vernon-Dudley:locked', 'supplies:all', 'home:locked']",[],[],-0.4795,"[(('become', 'VBN'), 'nmod', ('summer', 'NN')), (('summer', 'NN'), 'case', ('Over', 'IN')), (('summer', 'NN'), 'det', ('the', 'DT')), (('become', 'VBN'), 'nsubj', ('Marjorie-Petunia-Vernon-Dudley', 'NNP')), (('become', 'VBN'), 'aux', ('have', 'VBP')), (('become', 'VBN'), 'xcomp', ('fearful', 'JJ')), (('fearful', 'JJ'), 'advmod', ('so', 'RB')), (('fearful', 'JJ'), 'nmod', ('abilities', 'NNS')), (('abilities', 'NNS'), 'case', ('of', 'IN')), (('abilities', 'NNS'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('abilities', 'NNS'), 'amod', ('new-found', 'JJ')), (('abilities', 'NNS'), 'amod', ('magical', 'JJ')), (('become', 'VBN'), 'ccomp', ('locked', 'VBN')), (('locked', 'VBN'), 'mark', ('that', 'IN')), (('locked', 'VBN'), 'nsubj', ('Marjorie-Petunia-Vernon-Dudley', 'NNP')), (('locked', 'VBN'), 'aux', ('have', 'VBP')), (('locked', 'VBN'), 'compound:prt', ('away', 'RP')), (('locked', 'VBN'), 'dobj', ('all', 'DT')), (('all', 'DT'), 'nmod', ('supplies', 'NNS')), (('supplies', 'NNS'), 'case', ('of', 'IN')), (('supplies', 'NNS'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('supplies', 'NNS'), 'amod', ('magical', 'JJ')), (('supplies', 'NNS'), 'dep', ('wand', 'NN')), (('wand', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'compound', ('e.g.', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('wand', 'NN'), 'appos', ('broomstick', 'NN')), (('broomstick', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('wand', 'NN'), 'appos', ('spellbooks', 'NNS')), (('wand', 'NN'), 'dep', ('etc.', 'FW')), (('locked', 'VBN'), 'nmod', ('home', 'NN')), (('home', 'NN'), 'advmod', ('immediately', 'RB')), (('home', 'NN'), 'case', ('after', 'IN')), (('home', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('home', 'NN'), 'compound', ('arrival', 'NN'))]"
"Marjorie-Petunia-Vernon-Dudley have also banned Harry from saying words such as `` magic '' in the house , as evident in Vernon 's outburst at breakfast .","['Marjorie-Petunia-Vernon-Dudley', 'magic', 'house', 'outburst', 'breakfast']","['Marjorie-Petunia-Vernon-Dudley:banned', 'magic:words', 'house:magic', 'outburst:saying', 'breakfast:outburst']","['Harry', 'words']","['Harry:banned', 'words:saying']",-0.4588,"[(('banned', 'VBN'), 'nsubj', ('Marjorie-Petunia-Vernon-Dudley', 'NN')), (('banned', 'VBN'), 'aux', ('have', 'VBP')), (('banned', 'VBN'), 'advmod', ('also', 'RB')), (('banned', 'VBN'), 'dobj', ('Harry', 'NNP')), (('banned', 'VBN'), 'advcl', ('saying', 'VBG')), (('saying', 'VBG'), 'mark', ('from', 'IN')), (('saying', 'VBG'), 'dobj', ('words', 'NNS')), (('words', 'NNS'), 'nmod', ('magic', 'NN')), (('magic', 'NN'), 'case', ('such', 'JJ')), (('such', 'JJ'), 'mwe', ('as', 'IN')), (('magic', 'NN'), 'nmod', ('house', 'NN')), (('house', 'NN'), 'case', ('in', 'IN')), (('house', 'NN'), 'det', ('the', 'DT')), (('words', 'NNS'), 'amod', ('evident', 'JJ')), (('evident', 'JJ'), 'advmod', ('as', 'RB')), (('saying', 'VBG'), 'nmod', ('outburst', 'NN')), (('outburst', 'NN'), 'case', ('in', 'IN')), (('outburst', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('outburst', 'NN'), 'nmod', ('breakfast', 'NN')), (('breakfast', 'NN'), 'case', ('at', 'IN'))]"
"This has become a problem for Harry himself , who begins to worry about what his teachers at Hogwarts of Witchcraft and Wizardry will think if he heads back to them without back homework done , and whether or not he 'll be banned from the Gryfindor House Quidditch team since he has not been able to practise .","['Harry', 'teachers', 'Hogwarts', 'Witchcraft', 'Wizardry', 'he', 'them', 'homework', 'team', 'he']","['Harry:problem', 'teachers:think', 'Hogwarts:teachers', 'Witchcraft:Hogwarts', 'Wizardry:Hogwarts', 'he:heads', 'them:back', 'homework:heads', 'team:banned', 'he:able']",['himself'],['himself:banned'],-0.8225,"[(('become', 'VBN'), 'nsubj', ('This', 'DT')), (('become', 'VBN'), 'aux', ('has', 'VBZ')), (('become', 'VBN'), 'xcomp', ('problem', 'NN')), (('problem', 'NN'), 'det', ('a', 'DT')), (('problem', 'NN'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('for', 'IN')), (('problem', 'NN'), 'acl:relcl', ('banned', 'VBN')), (('banned', 'VBN'), 'nsubjpass', ('himself', 'PRP')), (('himself', 'PRP'), 'acl:relcl', ('begins', 'VBZ')), (('begins', 'VBZ'), 'nsubj', ('who', 'WP')), (('begins', 'VBZ'), 'xcomp', ('worry', 'VB')), (('worry', 'VB'), 'mark', ('to', 'TO')), (('worry', 'VB'), 'dobj', ('think', 'VB')), (('think', 'VB'), 'nmod', ('what', 'WP')), (('what', 'WP'), 'case', ('about', 'IN')), (('think', 'VB'), 'nsubj', ('teachers', 'NNS')), (('teachers', 'NNS'), 'nmod:poss', ('his', 'PRP$')), (('teachers', 'NNS'), 'nmod', ('Hogwarts', 'NNP')), (('Hogwarts', 'NNP'), 'case', ('at', 'IN')), (('Hogwarts', 'NNP'), 'nmod', ('Witchcraft', 'NNP')), (('Witchcraft', 'NNP'), 'case', ('of', 'IN')), (('Witchcraft', 'NNP'), 'cc', ('and', 'CC')), (('Witchcraft', 'NNP'), 'conj', ('Wizardry', 'NNP')), (('think', 'VB'), 'aux', ('will', 'MD')), (('think', 'VB'), 'advcl', ('heads', 'VBZ')), (('heads', 'VBZ'), 'mark', ('if', 'IN')), (('heads', 'VBZ'), 'nsubj', ('he', 'PRP')), (('heads', 'VBZ'), 'advmod', ('back', 'RB')), (('back', 'RB'), 'nmod', ('them', 'PRP')), (('them', 'PRP'), 'case', ('to', 'TO')), (('heads', 'VBZ'), 'nmod', ('homework', 'NN')), (('homework', 'NN'), 'case', ('without', 'IN')), (('homework', 'NN'), 'amod', ('back', 'JJ')), (('homework', 'NN'), 'acl', ('done', 'VBN')), (('think', 'VB'), 'cc', ('and', 'CC')), (('think', 'VB'), 'conj', ('not', 'RB')), (('not', 'RB'), 'mark', ('whether', 'IN')), (('not', 'RB'), 'cc', ('or', 'CC')), (('not', 'RB'), 'dep', ('he', 'PRP')), (('banned', 'VBN'), 'aux', (""'ll"", 'MD')), (('banned', 'VBN'), 'auxpass', ('be', 'VB')), (('banned', 'VBN'), 'nmod', ('team', 'NN')), (('team', 'NN'), 'case', ('from', 'IN')), (('team', 'NN'), 'det', ('the', 'DT')), (('team', 'NN'), 'compound', ('Gryfindor', 'NNP')), (('team', 'NN'), 'compound', ('House', 'NNP')), (('team', 'NN'), 'compound', ('Quidditch', 'NNP')), (('banned', 'VBN'), 'advcl', ('able', 'JJ')), (('able', 'JJ'), 'mark', ('since', 'IN')), (('able', 'JJ'), 'nsubj', ('he', 'PRP')), (('able', 'JJ'), 'aux', ('has', 'VBZ')), (('able', 'JJ'), 'neg', ('not', 'RB')), (('able', 'JJ'), 'cop', ('been', 'VBN')), (('able', 'JJ'), 'xcomp', ('practise', 'VB')), (('practise', 'VB'), 'mark', ('to', 'TO'))]"
"The only thing Marjorie-Petunia-Vernon-Dudley let him keep in his room , however , is his pet snowy owl Hedwig , but have put a padded lock on her cage to keep her inside day and night to avoid suspicion from the neighbours .","['thing', 'Marjorie-Petunia-Vernon-Dudley', 'him', 'room', 'cage', 'neighbours']","['thing:Hedwig', 'Marjorie-Petunia-Vernon-Dudley:let', 'him:keep', 'room:keep', 'cage:put', 'neighbours:avoid']","['lock', 'day', 'night', 'suspicion']","['lock:put', 'day:keep', 'night:keep', 'suspicion:avoid']",-0.7351,"[(('Hedwig', 'NN'), 'nsubj', ('thing', 'NN')), (('thing', 'NN'), 'det', ('The', 'DT')), (('thing', 'NN'), 'amod', ('only', 'JJ')), (('thing', 'NN'), 'acl:relcl', ('let', 'VBP')), (('let', 'VBP'), 'nsubj', ('Marjorie-Petunia-Vernon-Dudley', 'NNP')), (('let', 'VBP'), 'ccomp', ('keep', 'VB')), (('keep', 'VB'), 'nsubj', ('him', 'PRP')), (('keep', 'VB'), 'nmod', ('room', 'NN')), (('room', 'NN'), 'case', ('in', 'IN')), (('room', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('Hedwig', 'NN'), 'advmod', ('however', 'RB')), (('Hedwig', 'NN'), 'cop', ('is', 'VBZ')), (('Hedwig', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('Hedwig', 'NN'), 'amod', ('pet', 'JJ')), (('Hedwig', 'NN'), 'amod', ('snowy', 'JJ')), (('Hedwig', 'NN'), 'compound', ('owl', 'NN')), (('Hedwig', 'NN'), 'cc', ('but', 'CC')), (('Hedwig', 'NN'), 'conj', ('put', 'VBN')), (('put', 'VBN'), 'aux', ('have', 'VBP')), (('put', 'VBN'), 'dobj', ('lock', 'NN')), (('lock', 'NN'), 'det', ('a', 'DT')), (('lock', 'NN'), 'amod', ('padded', 'JJ')), (('put', 'VBN'), 'nmod', ('cage', 'NN')), (('cage', 'NN'), 'case', ('on', 'IN')), (('cage', 'NN'), 'nmod:poss', ('her', 'PRP$')), (('cage', 'NN'), 'acl', ('keep', 'VB')), (('keep', 'VB'), 'mark', ('to', 'TO')), (('keep', 'VB'), 'dobj', ('day', 'NN')), (('day', 'NN'), 'nmod:poss', ('her', 'PRP$')), (('day', 'NN'), 'amod', ('inside', 'JJ')), (('day', 'NN'), 'cc', ('and', 'CC')), (('day', 'NN'), 'conj', ('night', 'NN')), (('night', 'NN'), 'acl', ('avoid', 'VB')), (('avoid', 'VB'), 'mark', ('to', 'TO')), (('avoid', 'VB'), 'dobj', ('suspicion', 'NN')), (('avoid', 'VB'), 'nmod', ('neighbours', 'NNS')), (('neighbours', 'NNS'), 'case', ('from', 'IN')), (('neighbours', 'NNS'), 'det', ('the', 'DT'))]"
"This does not go well for the bird , because every time she has become bored , her screech has rung throughout the house , causing an irritated Vernon to warn Harry that if he can not control her , she will have to go .","['bird', 'time', 'she', 'screech', 'house', 'he', 'she']","['bird:go', 'time:become', 'she:become', 'screech:rung', 'house:rung', 'he:control', 'she:have']","['Vernon', 'Harry', 'her']","['Vernon:causing', 'Harry:warn', 'her:control']",-0.7441,"[(('rung', 'VBN'), 'ccomp', ('go', 'VB')), (('go', 'VB'), 'nsubj', ('This', 'DT')), (('go', 'VB'), 'aux', ('does', 'VBZ')), (('go', 'VB'), 'neg', ('not', 'RB')), (('go', 'VB'), 'advmod', ('well', 'RB')), (('go', 'VB'), 'nmod', ('bird', 'NN')), (('bird', 'NN'), 'case', ('for', 'IN')), (('bird', 'NN'), 'det', ('the', 'DT')), (('go', 'VB'), 'advcl', ('become', 'VBN')), (('become', 'VBN'), 'mark', ('because', 'IN')), (('become', 'VBN'), 'nsubj', ('time', 'NN')), (('time', 'NN'), 'det', ('every', 'DT')), (('become', 'VBN'), 'nsubj', ('she', 'PRP')), (('become', 'VBN'), 'aux', ('has', 'VBZ')), (('become', 'VBN'), 'xcomp', ('bored', 'JJ')), (('rung', 'VBN'), 'nsubj', ('screech', 'NN')), (('screech', 'NN'), 'nmod:poss', ('her', 'PRP$')), (('rung', 'VBN'), 'aux', ('has', 'VBZ')), (('rung', 'VBN'), 'nmod', ('house', 'NN')), (('house', 'NN'), 'case', ('throughout', 'IN')), (('house', 'NN'), 'det', ('the', 'DT')), (('rung', 'VBN'), 'xcomp', ('causing', 'VBG')), (('causing', 'VBG'), 'dobj', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'det', ('an', 'DT')), (('Vernon', 'NNP'), 'compound', ('irritated', 'NNP')), (('causing', 'VBG'), 'xcomp', ('warn', 'VB')), (('warn', 'VB'), 'mark', ('to', 'TO')), (('warn', 'VB'), 'dobj', ('Harry', 'NNP')), (('warn', 'VB'), 'ccomp', ('have', 'VB')), (('have', 'VB'), 'mark', ('that', 'IN')), (('have', 'VB'), 'advcl', ('control', 'VB')), (('control', 'VB'), 'mark', ('if', 'IN')), (('control', 'VB'), 'nsubj', ('he', 'PRP')), (('control', 'VB'), 'aux', ('can', 'MD')), (('control', 'VB'), 'neg', ('not', 'RB')), (('control', 'VB'), 'dobj', ('her', 'PRP')), (('have', 'VB'), 'nsubj', ('she', 'PRP')), (('have', 'VB'), 'aux', ('will', 'MD')), (('have', 'VB'), 'xcomp', ('go', 'VB')), (('go', 'VB'), 'mark', ('to', 'TO'))]"
"On  July -LRB- Harry 's twelfth birthday -RRB- , Harry has never felt so lonely , for he misses Hogwarts and his best friends there , Ronald and Hermione .","['July', 'Harry', 'he']","['July:felt', 'Harry:felt', 'he:misses']","['Hogwarts', 'friends', 'Ronald', 'Hermione']","['Hogwarts:misses', 'friends:misses', 'Ronald:misses', 'Hermione:misses']",0.4869,"[(('felt', 'VBN'), 'nmod', ('July', 'NNP')), (('July', 'NNP'), 'case', ('On', 'IN')), (('July', 'NNP'), 'appos', ('birthday', 'NN')), (('birthday', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('birthday', 'NN'), 'compound', ('twelfth', 'NN')), (('felt', 'VBN'), 'nsubj', ('Harry', 'NNP')), (('felt', 'VBN'), 'aux', ('has', 'VBZ')), (('felt', 'VBN'), 'neg', ('never', 'RB')), (('felt', 'VBN'), 'xcomp', ('lonely', 'JJ')), (('lonely', 'JJ'), 'advmod', ('so', 'RB')), (('felt', 'VBN'), 'advcl', ('misses', 'VBZ')), (('misses', 'VBZ'), 'mark', ('for', 'IN')), (('misses', 'VBZ'), 'nsubj', ('he', 'PRP')), (('misses', 'VBZ'), 'dobj', ('Hogwarts', 'NNP')), (('Hogwarts', 'NNP'), 'cc', ('and', 'CC')), (('Hogwarts', 'NNP'), 'conj', ('friends', 'NNS')), (('friends', 'NNS'), 'nmod:poss', ('his', 'PRP$')), (('friends', 'NNS'), 'amod', ('best', 'JJS')), (('friends', 'NNS'), 'advmod', ('there', 'RB')), (('Hogwarts', 'NNP'), 'conj', ('Ronald', 'NNP')), (('Hogwarts', 'NNP'), 'cc', ('and', 'CC')), (('Hogwarts', 'NNP'), 'conj', ('Hermione', 'NNP'))]"
"Neither of them have written to him all summer , not even to send birthday wishes .","['them', 'him']","['them:Neither', 'him:written']",['wishes'],['wishes:send'],0.1531,"[(('written', 'VBN'), 'nsubj', ('Neither', 'DT')), (('Neither', 'DT'), 'nmod', ('them', 'PRP')), (('them', 'PRP'), 'case', ('of', 'IN')), (('written', 'VBN'), 'aux', ('have', 'VBP')), (('written', 'VBN'), 'nmod', ('him', 'PRP')), (('him', 'PRP'), 'case', ('to', 'TO')), (('him', 'PRP'), 'dep', ('summer', 'NN')), (('summer', 'NN'), 'det', ('all', 'DT')), (('written', 'VBN'), 'advmod', ('even', 'RB')), (('even', 'RB'), 'dep', ('not', 'RB')), (('even', 'RB'), 'dep', ('send', 'VB')), (('send', 'VB'), 'mark', ('to', 'TO')), (('send', 'VB'), 'dobj', ('wishes', 'NNS')), (('wishes', 'NNS'), 'compound', ('birthday', 'NN'))]"
"Marjorie-Petunia-Vernon-Dudley seem to have also forgotten Vernon 's birthday , because they are too busy preparing for a dinner party meant for one of Vernon 's clients , Mr , from whom Vernon is hoping to get a huge order .","['Marjorie-Petunia-Vernon-Dudley', 'they', 'party', 'clients', 'Vernon']","['Marjorie-Petunia-Vernon-Dudley:seem', 'they:busy', 'party:preparing', 'clients:one', 'Vernon:hoping']","['birthday', 'order']","['birthday:forgotten', 'order:get']",0.7096,"[(('seem', 'VBP'), 'nsubj', ('Marjorie-Petunia-Vernon-Dudley', 'NN')), (('seem', 'VBP'), 'xcomp', ('forgotten', 'VBN')), (('forgotten', 'VBN'), 'mark', ('to', 'TO')), (('forgotten', 'VBN'), 'aux', ('have', 'VB')), (('forgotten', 'VBN'), 'advmod', ('also', 'RB')), (('forgotten', 'VBN'), 'dobj', ('birthday', 'NN')), (('birthday', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('forgotten', 'VBN'), 'advcl', ('busy', 'JJ')), (('busy', 'JJ'), 'mark', ('because', 'IN')), (('busy', 'JJ'), 'nsubj', ('they', 'PRP')), (('busy', 'JJ'), 'cop', ('are', 'VBP')), (('busy', 'JJ'), 'advmod', ('too', 'RB')), (('seem', 'VBP'), 'xcomp', ('preparing', 'VBG')), (('preparing', 'VBG'), 'nmod', ('party', 'NN')), (('party', 'NN'), 'case', ('for', 'IN')), (('party', 'NN'), 'det', ('a', 'DT')), (('party', 'NN'), 'compound', ('dinner', 'NN')), (('party', 'NN'), 'acl', ('meant', 'VBN')), (('meant', 'VBN'), 'nmod', ('one', 'CD')), (('one', 'CD'), 'case', ('for', 'IN')), (('one', 'CD'), 'nmod', ('clients', 'NNS')), (('clients', 'NNS'), 'case', ('of', 'IN')), (('clients', 'NNS'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('clients', 'NNS'), 'appos', ('Mr', 'NNP')), (('meant', 'VBN'), 'advcl', ('hoping', 'VBG')), (('hoping', 'VBG'), 'mark', ('from', 'IN')), (('hoping', 'VBG'), 'nsubj', ('Vernon', 'NNP')), (('hoping', 'VBG'), 'aux', ('is', 'VBZ')), (('hoping', 'VBG'), 'xcomp', ('get', 'VB')), (('get', 'VB'), 'dobj', ('whom', 'WP')), (('get', 'VB'), 'mark', ('to', 'TO')), (('get', 'VB'), 'dobj', ('order', 'NN')), (('order', 'NN'), 'det', ('a', 'DT')), (('order', 'NN'), 'amod', ('huge', 'JJ'))]"
"The only unchangeable thing on the Dursley 's schedule , however , is that Harry has to stay in his room for the night , making no noise and `` pretending he does n't exist '' .","['thing', 'schedule', 'Harry', 'room', 'night']","['thing:is', 'schedule:thing', 'Harry:has', 'room:stay', 'night:room']","['noise', 'he']","['noise:making', 'he:pretending']",-0.2023,"[(('is', 'VBZ'), 'nsubj', ('thing', 'NN')), (('thing', 'NN'), 'det', ('The', 'DT')), (('thing', 'NN'), 'advmod', ('only', 'RB')), (('thing', 'NN'), 'amod', ('unchangeable', 'JJ')), (('thing', 'NN'), 'nmod', ('schedule', 'NN')), (('schedule', 'NN'), 'case', ('on', 'IN')), (('schedule', 'NN'), 'nmod:poss', ('Dursley', 'NNP')), (('Dursley', 'NNP'), 'det', ('the', 'DT')), (('Dursley', 'NNP'), 'case', (""'s"", 'POS')), (('is', 'VBZ'), 'advmod', ('however', 'RB')), (('is', 'VBZ'), 'ccomp', ('has', 'VBZ')), (('has', 'VBZ'), 'mark', ('that', 'IN')), (('has', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('has', 'VBZ'), 'xcomp', ('stay', 'VB')), (('stay', 'VB'), 'mark', ('to', 'TO')), (('stay', 'VB'), 'nmod', ('room', 'NN')), (('room', 'NN'), 'case', ('in', 'IN')), (('room', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('room', 'NN'), 'nmod', ('night', 'NN')), (('night', 'NN'), 'case', ('for', 'IN')), (('night', 'NN'), 'det', ('the', 'DT')), (('stay', 'VB'), 'xcomp', ('making', 'VBG')), (('making', 'VBG'), 'dobj', ('noise', 'NN')), (('noise', 'NN'), 'neg', ('no', 'DT')), (('has', 'VBZ'), 'cc', ('and', 'CC')), (('has', 'VBZ'), 'conj', ('exist', 'VB')), (('exist', 'VB'), 'csubj', ('pretending', 'VBG')), (('pretending', 'VBG'), 'dobj', ('he', 'PRP')), (('exist', 'VB'), 'aux', ('does', 'VBZ')), (('exist', 'VB'), 'neg', (""n't"", 'RB'))]"
