"paragraph","nrc_sentiment","no_of_interactions","sentence_id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" Harry spends another summer holiday with the Dursleys in mid- , and things have n't been that easy for him . Over the summer , Marjorie-Petunia-Vernon-Dudley have forbidden him to talk to any of the neighbours out of fear of him exposing his magical abilities .",0.6,2," 1 2",0.222222222222222,0.222222222222222,0,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0,1.03,-0.50125,0.61344
" The separation from his magical supplies -LRB- e.g. his wand , his broomstick , spellbooks , etc. -RRB- have become a real problem for Harry , too , because his teachers at Hogwarts of Witchcraft and Wizardry have given him a lot of summer homework .",-0.2,2," 3",0.166666666666667,0.0833333333333333,0,0.25,0.0833333333333333,0.25,0.0833333333333333,0.0833333333333333,0.73,-0.77643,0.52571
" He has seized the opportunity to start it a week after his arrival home by sneaking some of his books upstairs and hiding them in his room while Petunia and Dudley go out to admire Vernon 's new company car .",1.2,1," 4",0,0.5,0,0.25,0,0,0,0.25,1.13235,-0.82441,0.81618
" None of Marjorie-Petunia-Vernon-Dudley have noticed him studying magic every night since then , and Harry has been very careful to avoid trouble with them , for his aunt and uncle have already been in a bad mood with him due to a telephone call they got from their nephew 's best friend at Hogwarts , Ronald , about which Vernon has furiously confronted him , even though Harry does n't know how Ronald got their home number .",-1.3,1," 5",0.272727272727273,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.181818181818182,0,0.181818181818182,0.80467,-1.119,0.44467
" The incident must have simply made Ronald warn their other friend Hermione not to call , as Harry received no word from them afterwards .",0.4,1," 6",0.1,0.1,0,0.1,0.1,0.1,0.2,0.3,0.708,-0.825,0.885
" The only improvement in his relationship to Marjorie-Petunia-Vernon-Dudley that gets changed is that they have given him permission to let his pet snowy owl Hedwig out at night with a promise not to use her to send letter to Ronald or Hermione , since Vernon could n't take the screeching racket she makes while bored if she gets locked in her cage all the time .",1.2,1," 7",0,0.285714285714286,0,0,0.285714285714286,0.142857142857143,0,0.285714285714286,0.66962,-1.06827,0.40827
" On  July -LRB- Harry 's thirteenth birthday -RRB- , after midnight , Harry receives gifts and letters from Ronald , Hermione , and Rubeus , each wishing him a happy birthday and sending him a gift . According to Ronald , his dad , Arthur , won a Daily Prophet Prize Draw for seven hundred galleons and has used it to take Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Potter-Dursley to Egypt to visit his eldest son , William , with the remainder being used to provide Ronald with a new wand to replace the one that was broken last year .",3.4,2," 8 9",0.1,0.25,0,0.1,0.15,0.1,0.15,0.15,1.23042,-0.94694,0.77236
" Harry also learns that Percy is entering his seventh year at Hogwarts and has been named Head Boy .",0.25,1," 10",0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,1.02556,-1.17667,0.83556
" According to Hermione , she and her parents are currently spending the holiday in France .",0.8,1," 11",0,0.5,0,0,0.5,0,0,0,1.476,-1.034,0.678
" Also , both Ronald and Hermione mention in Hogwarts they will be in London on the last week before term to pick up their school supplies and want Harry to join them .",0.25,1," 12",0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0.755,-1.338,0.67
" Rubeus hints in his letter the book he sent Harry will come in handy next term but he wants the reason for it to be a surprise until the term starts .",1.7,1," 13",0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,1.09143,-1.05821,0.81964
" Another letter from Minerva arrives , saying that third years are allowed to visit the village of Hogsmeade and that their guardian needs to sign the permission form in order for them to do so .",1.3,1," 14",0,0.5,0,0,0,0,0,0.5,0.79937,-1.45531,0.89031
" When Harry awakes the next morning , he goes downstairs hoping to watch TV .",0.6,1," 15",0.25,0.25,0,0.25,0,0.25,0,0,1.35917,-0.46083,1.2375
" Unfortunately for him , he finds his Vernon and Dudley already watching the news and sits down with them unnoticed as the channel 's anchorman is halfway through the report on word from the Prime out on the London streets of an escaped convict , Sirius , who Vernon comments looks like he came from an asylum rather than a prison . This is obviously because the mental state of Black 's gaunt face and elbow-length hair is almost like comparing him to Harry , who luckily feels well groomed .",-0.85,2," 16 17",0.285714285714286,0,0.0714285714285714,0.285714285714286,0,0.285714285714286,0,0.0714285714285714,0.47833,-1.08367,0.54333
" The reporter then transitions to his report on the Ministry of Agriculture and Fisheries ' announcement without implying beforehand which prison or asylum Black has escaped from , much to Vernon 's confusion . Nonetheless , Vernon announces to Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Potter-Dursley that his sister , Marjorie `` Marge '' Dursley , is coming to visit for a week .",-0.55,2," 18 19",0.142857142857143,0.142857142857143,0,0.285714285714286,0.0714285714285714,0.142857142857143,0.0714285714285714,0.142857142857143,0.15684,-1.09368,-0.02947
" Harry agrees to behave normally during her visit , if his uncle will sign his permission form and has to send Hedwig to the Weasley for the week due to Marge not knowing that Harry is a wizard .",2.7,1," 20",0.25,0.25,0,0,0,0.25,0.25,0,0.97467,-1.35667,0.68067
" On the final night , when she calls his father , James , a lazy good for nothing drunk , Harry loses his temper and accidentally inflates her .",-2.6,1," 21",0.1,0.2,0,0,0.1,0.1,0.2,0.3,0.055,-0.983,-0.089
" She explodes and Harry decides to take his school things and run away , fearing he will almost certainly be expelled from Hogwarts , after using magic outside school .",-1.7,1," 22",0.25,0,0,0.25,0,0.25,0,0.25,0.29615,-0.55077,0.14115
" He reaches Magnolia and sees a black dog staring at him .",-0.5,1," 23",0,0,0,0,0,1,0,0,0.95,-0.81167,0.77167
" In his shock , Harry falls and the Knight , a triple-decker bus designed for wizard transportation , arrives . The dog vanishes and is nowhere in sight .",0,2," 24 25",0.285714285714286,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.285714285714286,0,0.70364,-0.78227,0.33682
" Harry meets the Knight 's conductor , Stanley and the driver , Ernest .",0.6,1," 26",0.5,0,0,0,0,0.5,0,0,0.99333,-1.3,0.64
" Harry departs on the Knight Bus to the The in London .",0.6,1," 27",0.5,0,0,0,0,0.5,0,0,-0.415,-1.135,-0.38
" He learns from the Daily Prophet , Sirius , the same convict and a follower of Tom , broke out of Azkaban , the first person to ever do so . Sirius was imprisoned for murdering thirteen people with a single curse in  , right after Harry-James-Campaign-Ginevra 's murder .",-1.7,2," 28 29",0.2,0.08,0.16,0.2,0,0.24,0.04,0.08,-0.23028,-0.54139,0.07
" At the The , he meets the Minister for Magic , Cornelius , in person , though Harry has to pretend that he does n't know him since Harry and Ronald were technically breaking school rules during their previous school year when they saw him in Rubeus 's Hut .",-1.1,1," 30",0.25,0,0,0,0,0.5,0,0.25,0.65187,-1.12375,0.6125
" After explaining that Marge has been restored to normal and her memory modified , to Harry 's surprise , Fudge does n't take any action against him stating that accidental uses of magic do n't count as violations of the Decree for the Reasonable Restriction of Underage Sorcery .",0.1,1," 31",0.142857142857143,0.0714285714285714,0,0.285714285714286,0.0714285714285714,0.142857142857143,0.214285714285714,0.0714285714285714,0.55,-0.88729,0.35583
" Fudge books a room for Harry , where he will stay for the rest of the summer , but refuses to sign Harry 's Hogsmeade permission slip . Harry spends the rest of the holidays in Diagon , purchasing his school things and making sure not to make any unnecessary purchases .",-0.425,2," 32 33",0.333333333333333,0,0,0,0,0.333333333333333,0.166666666666667,0.166666666666667,1.07,-1.09727,0.81636
" On the last day of the holidays , Harry meets up with Ronald , Hermione and the rest of the Weasley who are also staying at the The .",0,1," 34",0.5,0,0,0,0,0.5,0,0,1.64,-1.50714,0.88143
" When Hermione decides to spend her birthday money on a magical pet , to Ronald 's displeasure , Hermione purchases a cat named Crookshanks , who harasses Ronald 's pet rat Scabbers .",0.15,1," 35",0.0714285714285714,0.214285714285714,0.142857142857143,0.0714285714285714,0.214285714285714,0,0.214285714285714,0.0714285714285714,0.82385,-0.23923,0.33385
" At some point during the night , Harry overhears a conversation between Ronald 's parents , Arthur and Molly . From what he hears , he learns that when Tom met his downfall , Black lost everything , and is now trying to kill Harry . Harry realises that Cornelius let him off because he was relieved to find Harry alive . He is unconcerned about Black , doubting that the escapee could harm him at Hogwarts , with headmaster Albus around . The next day , shortly before he boards the Hogwarts , Arthur tried to warn him about Black and makes him promise not to go looking for Black no matter what he hears . Harry tells him that he already knows because he heard Mr and Mrs talking about it earlier . Harry is also confused and asks why he would go looking for somebody who wanted to kill him .",-0.642857142857143,7," 36 37 38 39 40 41 42",0.161290322580645,0.0967741935483871,0,0.161290322580645,0.0645161290322581,0.387096774193548,0.032258064516129,0.0967741935483871,0.53264,-0.93865,0.57608
" On the train , Harry , Ronald , and Hermione share a compartment with Professor Remus Lupin , the new Defence Against the Dark Arts teacher .",1.35,1," 43",0.125,0.125,0,0,0.125,0.25,0,0.375,1.33,-1.09,0.41125
" After several hours , the train stops and a sinister , cloaked figure enters .",-1.15,1," 44",0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,-0.00833,-0.89333,0.56
" It sucks the happiness out of Harry , who faints . The creature then approaches Harry , possibly to kiss him , until Remus drives it off with a spell . After Harry recovers , Remus hands him and the others some chocolate and explains that the creature was a Dementor , one of the Azkaban , and that they were searching the train for Sirius . At Hogwarts , Draco taunts Harry over his reaction to the Dementor . After getting inside , Minerva calls Harry and Hermione to her and takes them to her office . Once there , Minerva reveals that Remus had informed her by Owl of Harry 's adverse reaction to the Dementor and wants him looked at by Mary to see if he 's ill .",-0.191666666666667,6," 45 46 47 48 49 50",0.235294117647059,0.117647058823529,0.117647058823529,0.117647058823529,0.0882352941176471,0.235294117647059,0.0294117647058824,0.0588235294117647,0.74314,-0.86257,0.55629
" The matron confirms that he 's fine .",0.35,1," 51",0,0,0,0,0,0,0,1,0.8075,-1.435,0.88
" After Minerva 's business with Hermione is concluded , they return to the Great to find that they missed the sorting ceremony .",0.6,1," 52",0,0,0,0,0.5,0,0.5,0,0.85625,-1.45125,0.76125
" Albus announces the two changes in staffing during the year : Remus , and Rubeus , who has been made the Care of Magical Creatures teacher due to the retirement of Silvanus .",2,1," 53",0,0.222222222222222,0,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,1.27923,-1.17923,0.50462
" Albus also announces that Dementors are to be stationed around the school as a precaution against Black . Lessons start the next day . Harry , Ronald and Hermione head to the North for their first Divination lesson .",-0.0833333333333333,3," 54 55 56",0.125,0.375,0,0,0,0.25,0,0.25,0.82714,-1.20071,0.72714
" They meet Sybill and predict future events using tea leaves .",0,1," 57",0,1,0,0,0,0,0,0,0.95571,-0.78,0.44571
" Harry sees a black dog in his tea cup , which Trelawney identifies as the Grim , the omen of death . This worries Harry , as he remembers the black dog he saw when he ran away . In their next lesson , Transfiguration , Minerva assures Harry that Trelawney has predicted the deaths of a number of students , none of whom have died . In their Care of Magical Creatures lesson , Rubeus teaches them about hippogriffs -LRB- horse/eagle creatures -RRB- .",-0.1125,4," 58 59 60 61",0.166666666666667,0.2,0.0666666666666667,0.1,0.0333333333333333,0.233333333333333,0.0666666666666667,0.133333333333333,0.5205,-0.74383,0.40983
" Although initially nervous , Harry successfully approaches and rides a grey hippogriff named Buckbeak . Later in the lesson , Malfoy , who had not been listening to Rubeus 's lecture , insults Buckbeak , causing it to slash Rubeus 's arm with its talons . Rubeus is taken to the hospital wing , and Rubeus fears that Rubeus will take the blame for letting Buckbeak attack Malfoy , even though Malfoy provoked it in the first place . Harry and Rubeus 's friends offer to help Rubeus clear Buckbeak .",-0.6875,4," 62 63 64 65",0.333333333333333,0.111111111111111,0.0555555555555556,0.222222222222222,0,0.166666666666667,0,0.111111111111111,0.12078,-0.65313,0.27438
" This makes Rubeus sober up and finally notice that Harry 's there . Rubeus angrily tells Harry off for leaving the castle after dark and escorts the trio back to Gryffindor personally .",-0.35,2," 66 67",0.2,0.1,0.1,0,0.1,0.3,0.1,0.1,0.522,-1.019,0.511
" Later in Ageing-Polyjuice-Wolfsbane , Malfoy returns with a heavily bandaged arm .",0,1," 68",NA,NA,NA,NA,NA,NA,NA,NA,0.3625,-0.92,0.78
" Although it is implied that he is exaggerating the seriousness of the injury , there is no way to prove it .",-0.8,1," 69",0.2,0,0,0.4,0,0.4,0,0,0.13889,-1.18,0.15667
" Harry learns that Black has been sighted near Hogwarts . During the lesson , Malfoy hints that Black may be connected to Harry 's past .",-0.05,2," 70 71",0.25,0.125,0,0,0,0.5,0,0.125,0.9875,-1.21167,0.87833
" In Defence against the Dark Arts , Remus teaches the third years about Boggarts , shape-shifters that take the shape of a person 's worst fear . The class then take on the Boggart , forcing it to assume a shape they find amusing . When it comes to Harry 's turn he is sure the Boggart will turn into a Dementor but Remus jumps in and repels the Boggart for him . Faced by Remus , the Boggart takes the shape of a bright glowing orb . Harry is disappointed that Lupin does not let him fight the Boggart , thinking that Remus feels he is not up to the task .",-0.47,5," 72 73 74 75 76",0.384615384615385,0,0.0769230769230769,0.153846153846154,0.0769230769230769,0.307692307692308,0,0,0.55671,-0.96684,0.625
" In October , the Gryffindor team practises hard for the upcoming Quidditch season , especially since this is their team captain Oliver 's final year at Hogwarts .",0.15,1," 77",0,0,0,0,0,0,0,1,0.74556,-1.22444,0.52
" Oliver believes that despite the misfortune which occurred during the previous two years their team should be able to win the Quidditch before Oliver graduates .",-0.25,1," 78",0,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.95091,-1.20818,0.74182
" Third years are also visiting Hogsmeade on Hallowe'en , and only Harry is not allowed , because Oliver 's uncle did not sign Oliver 's permission form .",0.8,1," 79",0.5,0,0,0,0,0.5,0,0,0.82,-1.50545,0.71545
" Harry spends the day in Remus 's office , drinking tea with Oliver . Remus tells Oliver that Oliver did not let Harry face the Boggart because Oliver did not want the Boggart to become Tom .",0,2," 80 81",0.5,0,0,0,0,0.5,0,0,0.82636,-1.32545,0.80545
" Shortly afterwards , Snape appears with a mysterious potion for Remus .",-0.4,1," 82",0,0.5,0,0.25,0,0,0.25,0,0.65,-0.39667,0.02667
" Remus claims to simply have an illness that is aided by the potion .",-0.75,1," 83",0,0,0,0.5,0,0.5,0,0,-0.24944,-0.74778,0.00889
