Sentence,Subject Characters,Actions with Subject Charcater,Object Characters,Objects and Actions,sentence sentiment score,dependency_tree
"Harry spends another summer holiday with the Dursleys in mid- , and things have n't been that easy for him .","['Harry', 'mid', 'things', 'him']","['Harry:spends', 'mid:spends', 'things:easy', 'him:easy']",['holiday'],['holiday:spends'],0.0757,"[(('spends', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('spends', 'VBZ'), 'dobj', ('holiday', 'NN')), (('holiday', 'NN'), 'det', ('another', 'DT')), (('holiday', 'NN'), 'compound', ('summer', 'NN')), (('spends', 'VBZ'), 'nmod', ('Dursleys', 'NNPS')), (('Dursleys', 'NNPS'), 'case', ('with', 'IN')), (('Dursleys', 'NNPS'), 'det', ('the', 'DT')), (('spends', 'VBZ'), 'nmod', ('mid', 'NNP')), (('mid', 'NNP'), 'case', ('in', 'IN')), (('spends', 'VBZ'), 'cc', ('and', 'CC')), (('spends', 'VBZ'), 'conj', ('easy', 'JJ')), (('easy', 'JJ'), 'nsubj', ('things', 'NNS')), (('easy', 'JJ'), 'aux', ('have', 'VBP')), (('easy', 'JJ'), 'neg', (""n't"", 'RB')), (('easy', 'JJ'), 'cop', ('been', 'VBN')), (('easy', 'JJ'), 'advmod', ('that', 'RB')), (('easy', 'JJ'), 'nmod', ('him', 'PRP')), (('him', 'PRP'), 'case', ('for', 'IN'))]"
"Over the summer , Marjorie-Petunia-Vernon-Dudley have forbidden him to talk to any of the neighbours out of fear of him exposing his magical abilities .","['summer', 'Marjorie-Petunia-Vernon-Dudley', 'neighbours', 'fear', 'him']","['summer:forbidden', 'Marjorie-Petunia-Vernon-Dudley:forbidden', 'neighbours:any', 'fear:neighbours', 'him:exposing']","['him', 'abilities']","['him:forbidden', 'abilities:exposing']",-0.7269,"[(('forbidden', 'VBN'), 'nmod', ('summer', 'NN')), (('summer', 'NN'), 'case', ('Over', 'IN')), (('summer', 'NN'), 'det', ('the', 'DT')), (('forbidden', 'VBN'), 'nsubj', ('Marjorie-Petunia-Vernon-Dudley', 'NNP')), (('forbidden', 'VBN'), 'aux', ('have', 'VBP')), (('forbidden', 'VBN'), 'dobj', ('him', 'PRP')), (('forbidden', 'VBN'), 'xcomp', ('talk', 'VB')), (('talk', 'VB'), 'mark', ('to', 'TO')), (('talk', 'VB'), 'nmod', ('any', 'DT')), (('any', 'DT'), 'case', ('to', 'TO')), (('any', 'DT'), 'nmod', ('neighbours', 'NNS')), (('neighbours', 'NNS'), 'case', ('of', 'IN')), (('neighbours', 'NNS'), 'det', ('the', 'DT')), (('neighbours', 'NNS'), 'nmod', ('fear', 'NN')), (('fear', 'NN'), 'advmod', ('out', 'RB')), (('fear', 'NN'), 'case', ('of', 'IN')), (('talk', 'VB'), 'advcl', ('exposing', 'VBG')), (('exposing', 'VBG'), 'mark', ('of', 'IN')), (('exposing', 'VBG'), 'nsubj', ('him', 'PRP')), (('exposing', 'VBG'), 'dobj', ('abilities', 'NNS')), (('abilities', 'NNS'), 'nmod:poss', ('his', 'PRP$')), (('abilities', 'NNS'), 'amod', ('magical', 'JJ'))]"
"The separation from his magical supplies -LRB- e.g. his wand , his broomstick , spellbooks , etc. -RRB- have become a real problem for Harry , too , because his teachers at Hogwarts of Witchcraft and Wizardry have given him a lot of summer homework .","['separation', 'supplies', 'Harry', 'teachers', 'Hogwarts', 'Witchcraft', 'Wizardry', 'homework']","['separation:become', 'supplies:separation', 'Harry:become', 'teachers:given', 'Hogwarts:teachers', 'Witchcraft:Hogwarts', 'Wizardry:Hogwarts', 'homework:lot']",['lot'],['lot:given'],-0.4019,"[(('become', 'VBN'), 'nsubj', ('separation', 'NN')), (('separation', 'NN'), 'det', ('The', 'DT')), (('separation', 'NN'), 'nmod', ('supplies', 'NNS')), (('supplies', 'NNS'), 'case', ('from', 'IN')), (('supplies', 'NNS'), 'nmod:poss', ('his', 'PRP$')), (('supplies', 'NNS'), 'amod', ('magical', 'JJ')), (('separation', 'NN'), 'dep', ('e.g.', 'NNP')), (('e.g.', 'NNP'), 'dep', ('wand', 'NN')), (('wand', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('e.g.', 'NNP'), 'appos', ('broomstick', 'NN')), (('broomstick', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('e.g.', 'NNP'), 'appos', ('spellbooks', 'NNS')), (('e.g.', 'NNP'), 'dep', ('etc.', 'FW')), (('become', 'VBN'), 'aux', ('have', 'VBP')), (('become', 'VBN'), 'xcomp', ('problem', 'NN')), (('problem', 'NN'), 'det', ('a', 'DT')), (('problem', 'NN'), 'amod', ('real', 'JJ')), (('become', 'VBN'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('for', 'IN')), (('become', 'VBN'), 'advmod', ('too', 'RB')), (('become', 'VBN'), 'advcl', ('given', 'VBN')), (('given', 'VBN'), 'mark', ('because', 'IN')), (('given', 'VBN'), 'nsubj', ('teachers', 'NNS')), (('teachers', 'NNS'), 'nmod:poss', ('his', 'PRP$')), (('teachers', 'NNS'), 'nmod', ('Hogwarts', 'NNP')), (('Hogwarts', 'NNP'), 'case', ('at', 'IN')), (('Hogwarts', 'NNP'), 'nmod', ('Witchcraft', 'NNP')), (('Witchcraft', 'NNP'), 'case', ('of', 'IN')), (('Witchcraft', 'NNP'), 'cc', ('and', 'CC')), (('Witchcraft', 'NNP'), 'conj', ('Wizardry', 'NNP')), (('given', 'VBN'), 'aux', ('have', 'VBP')), (('given', 'VBN'), 'iobj', ('him', 'PRP')), (('given', 'VBN'), 'dobj', ('lot', 'NN')), (('lot', 'NN'), 'det', ('a', 'DT')), (('lot', 'NN'), 'nmod', ('homework', 'NN')), (('homework', 'NN'), 'case', ('of', 'IN')), (('homework', 'NN'), 'compound', ('summer', 'NN'))]"
He has seized the opportunity to start it a week after his arrival home by sneaking some of his books upstairs and hiding them in his room while Petunia and Dudley go out to admire Vernon 's new company car .,"['He', 'home', 'books', 'room', 'Petunia', 'Dudley']","['He:seized', 'home:start', 'books:some', 'room:hiding', 'Petunia:go', 'Dudley:go']","['opportunity', 'it', 'them', 'car']","['opportunity:seized', 'it:start', 'them:hiding', 'car:admire']",0.5719,"[(('seized', 'VBN'), 'nsubj', ('He', 'PRP')), (('seized', 'VBN'), 'aux', ('has', 'VBZ')), (('seized', 'VBN'), 'dobj', ('opportunity', 'NN')), (('opportunity', 'NN'), 'det', ('the', 'DT')), (('opportunity', 'NN'), 'acl', ('start', 'VB')), (('start', 'VB'), 'mark', ('to', 'TO')), (('start', 'VB'), 'dobj', ('it', 'PRP')), (('start', 'VB'), 'nmod:tmod', ('week', 'NN')), (('week', 'NN'), 'det', ('a', 'DT')), (('start', 'VB'), 'nmod', ('home', 'NN')), (('home', 'NN'), 'case', ('after', 'IN')), (('home', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('home', 'NN'), 'compound', ('arrival', 'NN')), (('seized', 'VBN'), 'advcl', ('sneaking', 'VBG')), (('sneaking', 'VBG'), 'mark', ('by', 'IN')), (('sneaking', 'VBG'), 'dobj', ('some', 'DT')), (('some', 'DT'), 'nmod', ('books', 'NNS')), (('books', 'NNS'), 'case', ('of', 'IN')), (('books', 'NNS'), 'nmod:poss', ('his', 'PRP$')), (('sneaking', 'VBG'), 'advmod', ('upstairs', 'NN')), (('sneaking', 'VBG'), 'cc', ('and', 'CC')), (('sneaking', 'VBG'), 'conj', ('hiding', 'VBG')), (('hiding', 'VBG'), 'dobj', ('them', 'PRP')), (('hiding', 'VBG'), 'nmod', ('room', 'NN')), (('room', 'NN'), 'case', ('in', 'IN')), (('room', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('hiding', 'VBG'), 'advcl', ('go', 'VBP')), (('go', 'VBP'), 'mark', ('while', 'IN')), (('go', 'VBP'), 'nsubj', ('Petunia', 'NNP')), (('Petunia', 'NNP'), 'cc', ('and', 'CC')), (('Petunia', 'NNP'), 'conj', ('Dudley', 'NNP')), (('go', 'VBP'), 'compound:prt', ('out', 'RP')), (('go', 'VBP'), 'xcomp', ('admire', 'VB')), (('admire', 'VB'), 'mark', ('to', 'TO')), (('admire', 'VB'), 'dobj', ('car', 'NN')), (('car', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('car', 'NN'), 'amod', ('new', 'JJ')), (('car', 'NN'), 'compound', ('company', 'NN'))]"
"None of Marjorie-Petunia-Vernon-Dudley have noticed him studying magic every night since then , and Harry has been very careful to avoid trouble with them , for his aunt and uncle have already been in a bad mood with him due to a telephone call they got from their nephew 's best friend at Hogwarts , Ronald , about which Vernon has furiously confronted him , even though Harry does n't know how Ronald got their home number .","['None', 'Marjorie-Petunia-Vernon-Dudley', 'him', 'Harry', 'them', 'aunt', 'uncle', 'him', 'call', 'they', 'friend', 'Ronald', 'Vernon', 'Harry', 'Ronald']","['None:noticed', 'Marjorie-Petunia-Vernon-Dudley:None', 'him:studying', 'Harry:careful', 'them:avoid', 'aunt:mood', 'uncle:mood', 'him:mood', 'call:careful', 'they:got', 'friend:got', 'Ronald:got', 'Vernon:confronted', 'Harry:know', 'Ronald:got']","['trouble', 'him', 'number']","['trouble:avoid', 'him:confronted', 'number:got']",-0.4158,"[(('noticed', 'VBN'), 'nsubj', ('None', 'NN')), (('None', 'NN'), 'nmod', ('Marjorie-Petunia-Vernon-Dudley', 'NNP')), (('Marjorie-Petunia-Vernon-Dudley', 'NNP'), 'case', ('of', 'IN')), (('noticed', 'VBN'), 'aux', ('have', 'VBP')), (('noticed', 'VBN'), 'dep', ('studying', 'VBG')), (('studying', 'VBG'), 'nsubj', ('him', 'PRP')), (('studying', 'VBG'), 'xcomp', ('magic', 'JJ')), (('studying', 'VBG'), 'nmod:tmod', ('night', 'NN')), (('night', 'NN'), 'det', ('every', 'DT')), (('studying', 'VBG'), 'nmod', ('then', 'RB')), (('then', 'RB'), 'case', ('since', 'IN')), (('noticed', 'VBN'), 'cc', ('and', 'CC')), (('noticed', 'VBN'), 'conj', ('careful', 'JJ')), (('careful', 'JJ'), 'nsubj', ('Harry', 'NNP')), (('careful', 'JJ'), 'aux', ('has', 'VBZ')), (('careful', 'JJ'), 'cop', ('been', 'VBN')), (('careful', 'JJ'), 'advmod', ('very', 'RB')), (('careful', 'JJ'), 'xcomp', ('avoid', 'VB')), (('avoid', 'VB'), 'mark', ('to', 'TO')), (('avoid', 'VB'), 'dobj', ('trouble', 'NN')), (('avoid', 'VB'), 'nmod', ('them', 'PRP')), (('them', 'PRP'), 'case', ('with', 'IN')), (('avoid', 'VB'), 'advcl', ('mood', 'NN')), (('mood', 'NN'), 'mark', ('for', 'IN')), (('mood', 'NN'), 'nsubj', ('aunt', 'NN')), (('aunt', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('aunt', 'NN'), 'cc', ('and', 'CC')), (('aunt', 'NN'), 'conj', ('uncle', 'NN')), (('mood', 'NN'), 'aux', ('have', 'VBP')), (('mood', 'NN'), 'advmod', ('already', 'RB')), (('mood', 'NN'), 'cop', ('been', 'VBN')), (('mood', 'NN'), 'case', ('in', 'IN')), (('mood', 'NN'), 'det', ('a', 'DT')), (('mood', 'NN'), 'amod', ('bad', 'JJ')), (('mood', 'NN'), 'nmod', ('him', 'PRP')), (('him', 'PRP'), 'case', ('with', 'IN')), (('careful', 'JJ'), 'nmod', ('call', 'NN')), (('call', 'NN'), 'case', ('due', 'JJ')), (('due', 'JJ'), 'mwe', ('to', 'TO')), (('call', 'NN'), 'det', ('a', 'DT')), (('call', 'NN'), 'compound', ('telephone', 'NN')), (('call', 'NN'), 'acl:relcl', ('got', 'VBD')), (('got', 'VBD'), 'nsubj', ('they', 'PRP')), (('got', 'VBD'), 'nmod', ('friend', 'NN')), (('friend', 'NN'), 'case', ('from', 'IN')), (('friend', 'NN'), 'nmod:poss', ('nephew', 'NN')), (('nephew', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('nephew', 'NN'), 'case', (""'s"", 'POS')), (('friend', 'NN'), 'amod', ('best', 'JJS')), (('got', 'VBD'), 'nmod', ('Ronald', 'NNP')), (('Ronald', 'NNP'), 'case', ('at', 'IN')), (('Ronald', 'NNP'), 'compound', ('Hogwarts', 'NNP')), (('Ronald', 'NNP'), 'acl:relcl', ('confronted', 'VBN')), (('confronted', 'VBN'), 'nmod', ('which', 'WDT')), (('which', 'WDT'), 'case', ('about', 'IN')), (('confronted', 'VBN'), 'nsubj', ('Vernon', 'NNP')), (('confronted', 'VBN'), 'aux', ('has', 'VBZ')), (('confronted', 'VBN'), 'advmod', ('furiously', 'RB')), (('confronted', 'VBN'), 'dobj', ('him', 'PRP')), (('confronted', 'VBN'), 'advcl', ('know', 'VB')), (('know', 'VB'), 'advmod', ('even', 'RB')), (('know', 'VB'), 'mark', ('though', 'IN')), (('know', 'VB'), 'nsubj', ('Harry', 'NNP')), (('know', 'VB'), 'aux', ('does', 'VBZ')), (('know', 'VB'), 'neg', (""n't"", 'RB')), (('know', 'VB'), 'ccomp', ('got', 'VBD')), (('got', 'VBD'), 'advmod', ('how', 'WRB')), (('got', 'VBD'), 'nsubj', ('Ronald', 'NNP')), (('got', 'VBD'), 'dobj', ('number', 'NN')), (('number', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('number', 'NN'), 'compound', ('home', 'NN'))]"
"The incident must have simply made Ronald warn their other friend Hermione not to call , as Harry received no word from them afterwards .","['incident', 'Ronald', 'Harry', 'them']","['incident:made', 'Ronald:warn', 'Harry:received', 'them:received']","['Hermione', 'word']","['Hermione:warn', 'word:received']",0.1531,"[(('made', 'VBN'), 'nsubj', ('incident', 'NN')), (('incident', 'NN'), 'det', ('The', 'DT')), (('made', 'VBN'), 'aux', ('must', 'MD')), (('made', 'VBN'), 'aux', ('have', 'VB')), (('made', 'VBN'), 'advmod', ('simply', 'RB')), (('made', 'VBN'), 'ccomp', ('warn', 'VBP')), (('warn', 'VBP'), 'nsubj', ('Ronald', 'NNP')), (('warn', 'VBP'), 'dobj', ('Hermione', 'NN')), (('Hermione', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('Hermione', 'NN'), 'amod', ('other', 'JJ')), (('Hermione', 'NN'), 'compound', ('friend', 'NN')), (('warn', 'VBP'), 'xcomp', ('call', 'VB')), (('call', 'VB'), 'neg', ('not', 'RB')), (('call', 'VB'), 'mark', ('to', 'TO')), (('warn', 'VBP'), 'advcl', ('received', 'VBD')), (('received', 'VBD'), 'mark', ('as', 'IN')), (('received', 'VBD'), 'nsubj', ('Harry', 'NNP')), (('received', 'VBD'), 'dobj', ('word', 'NN')), (('word', 'NN'), 'neg', ('no', 'DT')), (('received', 'VBD'), 'nmod', ('them', 'PRP')), (('them', 'PRP'), 'case', ('from', 'IN')), (('received', 'VBD'), 'advmod', ('afterwards', 'RB'))]"
"The only improvement in his relationship to Marjorie-Petunia-Vernon-Dudley that gets changed is that they have given him permission to let his pet snowy owl Hedwig out at night with a promise not to use her to send letter to Ronald or Hermione , since Vernon could n't take the screeching racket she makes while bored if she gets locked in her cage all the time .","['improvement', 'relationship', 'Marjorie-Petunia-Vernon-Dudley', 'they', 'night', 'promise', 'Ronald', 'Hermione', 'Vernon', 'she', 'she', 'cage']","['improvement:is', 'relationship:improvement', 'Marjorie-Petunia-Vernon-Dudley:relationship', 'they:given', 'night:Hedwig', 'promise:night', 'Ronald:send', 'Hermione:send', 'Vernon:take', 'she:makes', 'she:gets', 'cage:locked']","['permission', 'owl', 'her', 'letter', 'racket', 'time']","['permission:given', 'owl:let', 'her:use', 'letter:send', 'racket:take', 'time:locked']",0.4939,"[(('is', 'VBZ'), 'nsubj', ('improvement', 'NN')), (('improvement', 'NN'), 'det', ('The', 'DT')), (('improvement', 'NN'), 'amod', ('only', 'JJ')), (('improvement', 'NN'), 'nmod', ('relationship', 'NN')), (('relationship', 'NN'), 'case', ('in', 'IN')), (('relationship', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('relationship', 'NN'), 'nmod', ('Marjorie-Petunia-Vernon-Dudley', 'NNP')), (('Marjorie-Petunia-Vernon-Dudley', 'NNP'), 'case', ('to', 'TO')), (('relationship', 'NN'), 'acl:relcl', ('gets', 'VBZ')), (('gets', 'VBZ'), 'nsubj', ('that', 'WDT')), (('gets', 'VBZ'), 'xcomp', ('changed', 'JJ')), (('is', 'VBZ'), 'ccomp', ('given', 'VBN')), (('given', 'VBN'), 'mark', ('that', 'IN')), (('given', 'VBN'), 'nsubj', ('they', 'PRP')), (('given', 'VBN'), 'aux', ('have', 'VBP')), (('given', 'VBN'), 'iobj', ('him', 'PRP')), (('given', 'VBN'), 'dobj', ('permission', 'NN')), (('permission', 'NN'), 'acl', ('let', 'VB')), (('let', 'VB'), 'mark', ('to', 'TO')), (('let', 'VB'), 'dobj', ('owl', 'NN')), (('owl', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('owl', 'NN'), 'amod', ('pet', 'JJ')), (('owl', 'NN'), 'amod', ('snowy', 'JJ')), (('owl', 'NN'), 'acl', ('Hedwig', 'VBG')), (('Hedwig', 'VBG'), 'compound:prt', ('out', 'RP')), (('Hedwig', 'VBG'), 'nmod', ('night', 'NN')), (('night', 'NN'), 'case', ('at', 'IN')), (('night', 'NN'), 'nmod', ('promise', 'NN')), (('promise', 'NN'), 'case', ('with', 'IN')), (('promise', 'NN'), 'det', ('a', 'DT')), (('Hedwig', 'VBG'), 'xcomp', ('use', 'VB')), (('use', 'VB'), 'neg', ('not', 'RB')), (('use', 'VB'), 'mark', ('to', 'TO')), (('use', 'VB'), 'dobj', ('her', 'PRP')), (('use', 'VB'), 'xcomp', ('send', 'VB')), (('send', 'VB'), 'mark', ('to', 'TO')), (('send', 'VB'), 'dobj', ('letter', 'NN')), (('send', 'VB'), 'nmod', ('Ronald', 'NNP')), (('Ronald', 'NNP'), 'case', ('to', 'TO')), (('Ronald', 'NNP'), 'cc', ('or', 'CC')), (('Ronald', 'NNP'), 'conj', ('Hermione', 'NNP')), (('send', 'VB'), 'advcl', ('take', 'VB')), (('take', 'VB'), 'mark', ('since', 'IN')), (('take', 'VB'), 'nsubj', ('Vernon', 'NNP')), (('take', 'VB'), 'aux', ('could', 'MD')), (('take', 'VB'), 'neg', (""n't"", 'RB')), (('take', 'VB'), 'dobj', ('racket', 'NN')), (('racket', 'NN'), 'det', ('the', 'DT')), (('racket', 'NN'), 'amod', ('screeching', 'VBG')), (('racket', 'NN'), 'acl:relcl', ('makes', 'VBZ')), (('makes', 'VBZ'), 'nsubj', ('she', 'PRP')), (('makes', 'VBZ'), 'advcl', ('locked', 'VBD')), (('locked', 'VBD'), 'mark', ('while', 'IN')), (('locked', 'VBD'), 'csubj', ('bored', 'JJ')), (('bored', 'JJ'), 'ccomp', ('gets', 'VBZ')), (('gets', 'VBZ'), 'mark', ('if', 'IN')), (('gets', 'VBZ'), 'nsubj', ('she', 'PRP')), (('locked', 'VBD'), 'nmod', ('cage', 'NN')), (('cage', 'NN'), 'case', ('in', 'IN')), (('cage', 'NN'), 'nmod:poss', ('her', 'PRP$')), (('locked', 'VBD'), 'dobj', ('time', 'NN')), (('time', 'NN'), 'det:predet', ('all', 'PDT')), (('time', 'NN'), 'det', ('the', 'DT'))]"
"On  July -LRB- Harry 's thirteenth birthday -RRB- , after midnight , Harry receives gifts and letters from Ronald , Hermione , and Rubeus , each wishing him a happy birthday and sending him a gift .","['July', 'midnight', 'Harry', 'Ronald', 'Hermione', 'Rubeus', 'him']","['July:receives', 'midnight:receives', 'Harry:receives', 'Ronald:receives', 'Hermione:receives', 'Rubeus:receives', 'him:birthday']","['gifts', 'letters', 'gift']","['gifts:receives', 'letters:receives', 'gift:sending']",0.8176,"[(('receives', 'VBZ'), 'nmod', ('July', 'NNP')), (('July', 'NNP'), 'case', ('On', 'IN')), (('July', 'NNP'), 'appos', ('birthday', 'NN')), (('birthday', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('birthday', 'NN'), 'compound', ('thirteenth', 'NN')), (('receives', 'VBZ'), 'nmod', ('midnight', 'NN')), (('midnight', 'NN'), 'case', ('after', 'IN')), (('receives', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('receives', 'VBZ'), 'dobj', ('gifts', 'NNS')), (('gifts', 'NNS'), 'cc', ('and', 'CC')), (('gifts', 'NNS'), 'conj', ('letters', 'NNS')), (('receives', 'VBZ'), 'nmod', ('Ronald', 'NNP')), (('Ronald', 'NNP'), 'case', ('from', 'IN')), (('Ronald', 'NNP'), 'conj', ('Hermione', 'NNP')), (('Ronald', 'NNP'), 'cc', ('and', 'CC')), (('Ronald', 'NNP'), 'conj', ('Rubeus', 'NNP')), (('receives', 'VBZ'), 'dobj', ('each', 'DT')), (('each', 'DT'), 'dep', ('wishing', 'VBG')), (('wishing', 'VBG'), 'xcomp', ('birthday', 'NN')), (('birthday', 'NN'), 'nsubj', ('him', 'PRP')), (('birthday', 'NN'), 'det', ('a', 'DT')), (('birthday', 'NN'), 'amod', ('happy', 'JJ')), (('wishing', 'VBG'), 'cc', ('and', 'CC')), (('wishing', 'VBG'), 'conj', ('sending', 'VBG')), (('sending', 'VBG'), 'iobj', ('him', 'PRP')), (('sending', 'VBG'), 'dobj', ('gift', 'NN')), (('gift', 'NN'), 'det', ('a', 'DT'))]"
"According to Ronald , his dad , Arthur , won a Daily Prophet Prize Draw for seven hundred galleons and has used it to take Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Potter-Dursley to Egypt to visit his eldest son , William , with the remainder being used to provide Ronald with a new wand to replace the one that was broken last year .","['Ronald', 'dad', 'galleons', 'Egypt', 'remainder', 'wand']","['Ronald:won', 'dad:won', 'galleons:won', 'Egypt:Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Potter-Dursley', 'remainder:visit', 'wand:Ronald']","['Draw', 'it', 'Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Potter-Dursley', 'son', 'Ronald', 'one']","['Draw:won', 'it:used', 'Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Potter-Dursley:take', 'son:visit', 'Ronald:provide', 'one:replace']",0.5994,"[(('won', 'VBD'), 'nmod', ('Ronald', 'NNP')), (('Ronald', 'NNP'), 'case', ('According', 'VBG')), (('According', 'VBG'), 'mwe', ('to', 'TO')), (('won', 'VBD'), 'nsubj', ('dad', 'NN')), (('dad', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('dad', 'NN'), 'appos', ('Arthur', 'NNP')), (('won', 'VBD'), 'dobj', ('Draw', 'NNP')), (('Draw', 'NNP'), 'det', ('a', 'DT')), (('Draw', 'NNP'), 'compound', ('Daily', 'NNP')), (('Draw', 'NNP'), 'compound', ('Prophet', 'NNP')), (('Draw', 'NNP'), 'compound', ('Prize', 'NNP')), (('won', 'VBD'), 'nmod', ('galleons', 'NNS')), (('galleons', 'NNS'), 'case', ('for', 'IN')), (('galleons', 'NNS'), 'nummod', ('hundred', 'CD')), (('hundred', 'CD'), 'compound', ('seven', 'CD')), (('won', 'VBD'), 'cc', ('and', 'CC')), (('won', 'VBD'), 'conj', ('used', 'VBN')), (('used', 'VBN'), 'aux', ('has', 'VBZ')), (('used', 'VBN'), 'dobj', ('it', 'PRP')), (('used', 'VBN'), 'xcomp', ('take', 'VB')), (('take', 'VB'), 'mark', ('to', 'TO')), (('take', 'VB'), 'dobj', ('Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Potter-Dursley', 'NNP')), (('Lestrange-Peverell-Riddle-Weasley-Malfoy-Roberts-Potter-Dursley', 'NNP'), 'nmod', ('Egypt', 'NNP')), (('Egypt', 'NNP'), 'case', ('to', 'TO')), (('take', 'VB'), 'advcl', ('visit', 'VB')), (('visit', 'VB'), 'mark', ('to', 'TO')), (('visit', 'VB'), 'dobj', ('son', 'NN')), (('son', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('son', 'NN'), 'amod', ('eldest', 'JJS')), (('son', 'NN'), 'appos', ('William', 'NNP')), (('visit', 'VB'), 'nmod', ('remainder', 'NN')), (('remainder', 'NN'), 'case', ('with', 'IN')), (('remainder', 'NN'), 'det', ('the', 'DT')), (('remainder', 'NN'), 'acl', ('used', 'VBN')), (('used', 'VBN'), 'auxpass', ('being', 'VBG')), (('used', 'VBN'), 'xcomp', ('provide', 'VB')), (('provide', 'VB'), 'mark', ('to', 'TO')), (('provide', 'VB'), 'dobj', ('Ronald', 'NNP')), (('Ronald', 'NNP'), 'nmod', ('wand', 'NN')), (('wand', 'NN'), 'case', ('with', 'IN')), (('wand', 'NN'), 'det', ('a', 'DT')), (('wand', 'NN'), 'amod', ('new', 'JJ')), (('provide', 'VB'), 'advcl', ('replace', 'VB')), (('replace', 'VB'), 'mark', ('to', 'TO')), (('replace', 'VB'), 'dobj', ('one', 'NN')), (('one', 'NN'), 'det', ('the', 'DT')), (('one', 'NN'), 'acl:relcl', ('broken', 'VBN')), (('broken', 'VBN'), 'nsubjpass', ('that', 'WDT')), (('broken', 'VBN'), 'auxpass', ('was', 'VBD')), (('broken', 'VBN'), 'nmod:tmod', ('year', 'NN')), (('year', 'NN'), 'amod', ('last', 'JJ'))]"
Harry also learns that Percy is entering his seventh year at Hogwarts and has been named Head Boy .,"['Harry', 'Percy', 'Hogwarts']","['Harry:learns', 'Percy:entering', 'Hogwarts:entering']",['Boy'],['Boy:named'],0.0,"[(('learns', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('learns', 'VBZ'), 'advmod', ('also', 'RB')), (('learns', 'VBZ'), 'ccomp', ('entering', 'VBG')), (('entering', 'VBG'), 'mark', ('that', 'IN')), (('entering', 'VBG'), 'nsubj', ('Percy', 'NNP')), (('entering', 'VBG'), 'aux', ('is', 'VBZ')), (('entering', 'VBG'), 'nmod:tmod', ('year', 'NN')), (('year', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('year', 'NN'), 'amod', ('seventh', 'JJ')), (('entering', 'VBG'), 'nmod', ('Hogwarts', 'NNP')), (('Hogwarts', 'NNP'), 'case', ('at', 'IN')), (('entering', 'VBG'), 'cc', ('and', 'CC')), (('entering', 'VBG'), 'conj', ('named', 'VBN')), (('named', 'VBN'), 'aux', ('has', 'VBZ')), (('named', 'VBN'), 'auxpass', ('been', 'VBN')), (('named', 'VBN'), 'dobj', ('Boy', 'NNP')), (('Boy', 'NNP'), 'compound', ('Head', 'NNP'))]"
